Date,AIG,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-01-04,244.674896,3.067949,0.467639,10.915036,2.244316,0.881346,4.225188,3.900362,1.464623,6.968578,6.527156,1.472446,5.1688,3.619743,4.14274,6.978156,8.929806,8.004246,1.954733,0.158184,1.085469,4.786163,7.526667,3.012663,1.356032,5.278722,10.392178,9.869431,4.350278,5.154285,14.395644,0.785965,33.821957,1.081838,7.903905,14.704293
1993-01-05,237.563782,3.113969,0.475667,11.018333,2.249474,0.905357,4.202474,3.940081,1.481754,7.034951,6.364383,1.549048,5.051328,3.544332,4.075703,6.942549,8.852156,7.86742,1.986308,0.155096,1.047975,4.763691,7.490007,2.986465,1.373373,5.28614,10.350857,9.964375,4.340805,5.145462,14.411417,0.807597,33.821957,1.041115,7.80572,14.510086
1993-01-06,239.40741,3.09863,0.495737,11.087191,2.301069,0.927956,4.232759,3.924196,1.475329,6.74293,6.250444,1.678845,4.894699,3.565879,4.115924,6.978156,8.841064,7.662185,2.043716,0.154146,1.023603,4.673813,7.551095,3.006114,1.373373,5.391337,10.082269,10.196106,4.350278,5.198414,14.277321,0.839324,34.168854,1.018097,7.756621,14.565569
1993-01-07,239.40741,3.09863,0.489716,11.087191,2.332025,0.909594,4.157039,3.91625,1.471048,6.756205,6.120225,1.695867,4.764174,3.50124,4.035484,6.942549,8.841064,7.570971,2.003531,0.155334,1.00673,4.6064,7.490007,2.993016,1.356032,5.365036,9.937654,9.99334,4.274457,5.207239,14.261552,0.813366,34.689201,1.02872,7.592981,14.315883
1993-01-08,240.197525,3.067949,0.499751,10.742873,2.352662,0.918069,4.134323,3.852702,1.468906,6.716382,6.055117,1.680973,4.881645,3.46892,4.062295,7.049357,8.863248,7.753404,2.000661,0.152009,1.019853,4.471575,7.477786,2.914424,1.34216,5.233543,9.813687,9.99334,4.331325,5.136635,13.867146,0.81625,34.342293,1.048197,7.592981,14.204897
1993-01-11,239.144028,3.052611,0.514804,10.536279,2.357822,0.940667,4.172183,3.844756,1.456058,6.769474,6.217891,1.742679,4.881645,3.512012,4.115924,7.013753,8.852156,7.890226,2.046587,0.154384,1.027353,4.426639,7.563316,2.979917,1.338691,5.299289,9.751705,9.84851,4.236548,5.136635,13.914475,0.839324,33.735237,1.049967,7.70753,13.982944
1993-01-12,239.934158,3.067949,0.49373,10.536279,2.326865,0.947729,4.194901,3.812982,1.4582,6.782752,6.348108,1.736295,4.894699,3.533557,4.14274,6.960348,8.752316,7.799011,2.060939,0.153671,1.019853,4.437875,7.46557,3.051959,1.34216,5.338738,9.83435,9.819545,4.236548,5.163111,13.701506,0.81625,34.429035,1.062362,7.740259,14.010695
1993-01-13,241.777771,3.067949,0.509786,10.536279,2.345978,0.973153,4.232759,3.828868,1.451776,6.928762,6.217891,1.874603,4.881645,3.565879,4.196365,7.031559,8.841064,7.913029,2.095383,0.156046,0.993607,4.494049,7.514441,3.235338,1.331755,5.483383,9.875666,10.022305,4.189158,5.25137,13.488523,0.822019,34.86264,1.044656,7.592981,13.705509
1993-01-14,245.728394,3.083289,0.521829,10.329682,2.340707,1.011288,4.217618,3.836814,1.453917,7.021675,6.348108,1.919287,4.829436,3.727473,4.330435,7.120564,8.874339,7.662185,2.095383,0.163884,0.984234,4.538988,7.490007,3.333577,1.314415,5.522832,9.958309,10.311972,4.075426,5.31315,13.488523,0.855188,36.076763,1.044656,7.543896,13.511307
1993-01-15,244.938278,3.083289,0.483695,10.260824,2.393426,0.981627,4.202474,3.820926,1.449635,6.995122,6.282996,1.902266,4.894699,3.727473,4.343839,7.049357,8.885439,7.616578,2.060939,0.161747,0.980484,4.686077,7.46557,3.425265,1.310946,5.443937,9.99963,10.398868,4.075426,5.25137,13.685725,0.840766,36.163494,1.030491,7.576619,13.705509
1993-01-18,244.41153,3.144649,0.477674,10.364117,2.388154,1.007051,4.179754,3.773262,1.449635,7.021675,6.445769,1.985248,4.881645,3.7167,4.424284,7.031559,8.874339,7.548168,2.049457,0.160559,0.948613,4.62865,7.514441,3.340126,1.297074,5.509683,9.896331,10.340933,4.094381,5.198414,13.685725,0.832114,35.99004,1.014556,7.789351,13.899718
