Date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-01-04,6.437102,2.080357,19.8125,6.796875,1.083333,17.4375,15.34375,7.125,10.9375,12.53125,2.703125,12.375,10.5,12.875,12.25,25.15625,21.9375,2.660156,2.601563,6.03125,13.3125,19.25,3.59375,6.109375,23.213768,15.71875,14.053254,19.125,18.25,21.927376,3.867223,40.462502,25.458334,15.013753,32.667652
1993-01-05,6.533659,2.116071,20,6.8125,1.112847,17.34375,15.5,7.208333,11.041667,12.21875,2.84375,12.09375,10.28125,12.666667,12.1875,24.9375,21.5625,2.703125,2.550781,5.822917,13.25,19.15625,3.5625,6.1875,22.595484,15.65625,14.135437,19.083334,18.21875,21.951405,3.97366,40.462502,24.5,14.827247,32.236195
1993-01-06,6.501473,2.205357,20.125,6.96875,1.140625,17.46875,15.4375,7.177083,10.583333,12,3.082031,11.71875,10.34375,12.791667,12.25,24.90625,21,2.78125,2.535156,5.6875,13,19.3125,3.585938,6.1875,23.045145,15.25,14.464169,19.125,18.40625,21.74715,4.129768,40.877499,23.958334,14.733994,32.359467
1993-01-07,6.501473,2.178571,20.125,7.0625,1.118056,17.15625,15.40625,7.15625,10.604167,11.75,3.113281,11.40625,10.15625,12.541667,12.1875,24.90625,20.75,2.726563,2.554688,5.59375,12.8125,19.15625,3.570313,6.109375,22.93273,15.03125,14.176529,18.791666,18.4375,21.72312,4.002044,41.5,24.208334,14.42315,31.804733
1993-01-08,6.437102,2.223214,19.5,7.125,1.128472,17.0625,15.15625,7.145833,10.541667,11.625,3.085938,11.6875,10.0625,12.625,12.375,24.96875,21.25,2.722656,2.5,5.666667,12.4375,19.125,3.476563,6.046875,22.370653,14.84375,14.176529,19.041666,18.1875,21.12237,4.016235,41.084999,24.666666,14.42315,31.558186
1993-01-11,6.404917,2.290179,19.125,7.140625,1.15625,17.21875,15.125,7.083333,10.625,11.9375,3.199219,11.6875,10.1875,12.791667,12.3125,24.9375,21.625,2.785156,2.539063,5.708333,12.3125,19.34375,3.554688,6.03125,22.651691,14.75,13.971071,18.625,18.1875,21.19446,4.129768,40.358749,24.708334,14.64074,31.065088
1993-01-12,6.437102,2.196429,19.125,7.046875,1.164931,17.3125,15,7.09375,10.645833,12.1875,3.1875,11.71875,10.25,12.875,12.21875,24.65625,21.375,2.804688,2.527344,5.666667,12.34375,19.09375,3.640625,6.046875,22.820314,14.875,13.92998,18.625,18.28125,20.870054,4.016235,41.188751,25,14.702909,31.126726
1993-01-13,6.437102,2.267857,19.125,6.953125,1.196181,17.46875,15.0625,7.0625,10.875,11.9375,3.441406,11.6875,10.34375,13.041667,12.34375,24.90625,21.6875,2.851563,2.566406,5.520833,12.5,19.21875,3.859375,6,23.438599,14.9375,14.21762,18.416666,18.59375,20.54565,4.044619,41.7075,24.583334,14.42315,30.448717
1993-01-14,6.469287,2.321429,18.75,6.9375,1.243056,17.40625,15.09375,7.072917,11.020833,12.1875,3.523438,11.5625,10.8125,13.458333,12.5,25,21,2.851563,2.695313,5.46875,12.625,19.15625,3.976563,5.921875,23.607222,15.0625,14.628534,17.916666,18.8125,20.54565,4.207822,43.16,24.583334,14.329897,30.017258
1993-01-15,6.469287,2.151786,18.625,7.09375,1.206597,17.34375,15.03125,7.052083,10.979167,12.0625,3.492188,11.71875,10.8125,13.5,12.375,25.03125,20.875,2.804688,2.660156,5.447917,12.75,19.09375,4.085938,5.90625,23.269976,15.125,14.751808,17.916666,18.59375,20.846025,4.136864,43.263748,24.25,14.392066,30.448717
1993-01-18,6.59803,2.125,18.8125,7.078125,1.237847,17.25,14.84375,7.052083,11.020833,12.375,3.644531,11.6875,10.78125,13.75,12.34375,25,20.6875,2.789063,2.640625,5.270833,12.59375,19.21875,3.984375,5.84375,23.551014,14.96875,14.669625,18,18.40625,20.846025,4.094289,43.056252,23.875,14.796163,30.880178
1993-01-19,6.565844,2.133929,18.5,7.0625,1.225694,17.125,14.71875,7.010417,10.958333,12.09375,3.585938,11.34375,10.5,13.875,12.34375,24.75,20.375,2.761719,2.625,5.083333,12.4375,19.46875,3.890625,5.875,23.494806,14.90625,14.587442,17.791666,18.46875,20.59371,4.094289,42.330002,23.541666,14.733994,30.510355
1993-01-20,6.565844,2.142857,18.375,7,1.232639,17.21875,14.625,6.885417,10.791667,11.71875,3.519531,11.4375,10.4375,13.458333,12.28125,24.5625,20.625,2.761719,2.632813,5.291667,12.375,19.28125,3.960938,5.84375,23.045145,14.9375,14.628534,17.708334,18.03125,20.569679,4.016235,42.952499,23.5,14.765079,30.510355
