Date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-01-04,6.469287,2.142857,20.125,6.8125,1.09375,17.5,15.4375,7.177083,11.3125,12.96875,2.734375,12.59375,10.59375,12.958333,12.3125,25.25,22.0625,2.679688,2.609375,6.0625,13.5,19.375,3.609375,6.109375,23.269976,16.0625,14.094346,19.333334,18.40625,21.999466,3.994948,40.77375,25.875,15.138091,32.9142
1993-01-05,6.533659,2.116071,20.0625,6.859375,1.114583,17.40625,15.53125,7.239583,11.104167,12.5,2.84375,12.40625,10.53125,12.916667,12.25,25.15625,21.9375,2.710938,2.597656,6.03125,13.4375,19.21875,3.59375,6.203125,22.820314,15.8125,14.21762,19.166666,18.28125,22.227751,3.97366,40.669998,25.333334,15.013753,32.9142
1993-01-06,6.630215,2.214286,20.125,6.96875,1.142361,17.5,15.5625,7.21875,11.020833,12.28125,3.117188,12,10.375,12.791667,12.3125,24.9375,21.5625,2.789063,2.574219,5.71875,13.28125,19.3125,3.601563,6.203125,23.101353,15.78125,14.546351,19.25,18.40625,21.927376,4.136864,40.981251,24.416666,14.982669,32.606014
1993-01-07,6.59803,2.232143,20.4375,7.203125,1.152778,17.34375,15.59375,7.270833,10.770833,12.15625,3.21875,11.75,10.46875,12.833333,12.28125,24.90625,21.125,2.808594,2.59375,5.71875,13.09375,19.3125,3.625,6.234375,23.213768,15.28125,14.587442,19.208334,18.53125,21.999466,4.151056,42.43375,24.541666,14.64074,32.482742
1993-01-08,6.533659,2.25,20.0625,7.140625,1.128472,17.15625,15.28125,7.1875,10.625,11.71875,3.164063,11.71875,10.1875,12.666667,12.375,24.96875,21.3125,2.757813,2.546875,5.6875,12.65625,19.15625,3.570313,6.125,22.93273,15.03125,14.21762,19.041666,18.40625,21.398714,4.016235,41.396252,24.75,14.454234,31.866371
1993-01-11,6.437102,2.299107,19.1875,7.15625,1.166667,17.25,15.25,7.15625,10.6875,12.09375,3.210938,11.90625,10.21875,12.833333,12.375,25,21.9375,2.789063,2.550781,5.729167,12.46875,19.34375,3.554688,6.046875,22.651691,14.90625,14.258712,19.041666,18.28125,21.19446,4.151056,40.981251,24.916666,14.64074,31.619822
1993-01-12,6.437102,2.276786,19.125,7.140625,1.180556,17.3125,15.15625,7.104167,10.791667,12.46875,3.226563,11.78125,10.3125,12.916667,12.3125,24.90625,21.6875,2.851563,2.554688,5.75,12.4375,19.3125,3.648438,6.046875,22.876522,14.875,13.971071,18.75,18.34375,21.350655,4.122673,41.396252,25.041666,14.733994,31.434912
1993-01-13,6.469287,2.285714,19.25,7,1.21875,17.46875,15.1875,7.09375,10.875,12.25,3.484375,11.8125,10.375,13.083333,12.375,25.09375,21.75,2.882813,2.578125,5.572917,12.5625,19.28125,3.859375,6.03125,23.719637,14.9375,14.21762,18.625,18.65625,20.54565,4.080098,41.7075,24.833334,14.702909,31.188362
1993-01-14,6.501473,2.330357,19.125,6.96875,1.246528,17.59375,15.1875,7.083333,11.041667,12.375,3.609375,11.78125,10.8125,13.458333,12.5,25.03125,21.6875,2.9375,2.703125,5.552083,12.625,19.3125,4,6,23.607222,15.0625,14.669625,18.416666,18.8125,20.773935,4.22911,43.3675,24.75,14.516403,30.941814
1993-01-15,6.533659,2.223214,18.75,7.125,1.239583,17.4375,15.09375,7.135417,11.125,12.25,3.578125,11.875,11.03125,13.666667,12.59375,25.03125,21.4375,2.84375,2.734375,5.53125,12.8125,19.21875,4.1875,5.921875,24.113091,15.34375,14.792899,18.166666,18.90625,20.870054,4.243301,43.88625,24.583334,14.516403,30.571993
1993-01-18,6.59803,2.142857,18.9375,7.09375,1.243056,17.34375,15,7.0625,11.0625,12.53125,3.65625,11.875,10.8125,13.916667,12.34375,25.21875,21.125,2.804688,2.65625,5.458333,12.8125,19.25,4.09375,5.90625,23.551014,15.15625,14.916174,18.083334,18.625,20.846025,4.122673,43.263748,24.25,14.796163,30.880178
1993-01-19,6.630215,2.160714,18.75,7.125,1.25,17.28125,14.84375,7.135417,11.0625,12.71875,3.6875,11.75,10.71875,14.333333,12.40625,25,20.75,2.789063,2.644531,5.322917,12.65625,19.5625,4.023438,5.890625,23.551014,15.0625,14.792899,17.958334,18.46875,20.846025,4.122673,42.952499,23.916666,15.044838,30.880178
1993-01-20,6.630215,2.151786,18.5,7.109375,1.243056,17.21875,14.75,7.083333,10.916667,12.0625,3.59375,11.625,10.5625,13.916667,12.375,24.78125,20.9375,2.78125,2.660156,5.322917,12.5,19.46875,3.976563,5.875,23.494806,15.03125,14.710716,17.791666,18.46875,20.821995,4.101385,43.16,23.833334,14.889416,30.880178
1993-01-21,6.59803,2.151786,18.375,6.921875,1.291667,17.15625,14.59375,6.96875,10.958333,11.75,3.539063,11.6875,10.46875,13.625,12.40625,24.875,21,2.8125,2.640625,5.4375,12.4375,19.625,3.992188,5.90625,23.607222,14.96875,14.833991,17.708334,18.34375,20.749905,4.080098,43.16,23.958334,14.796163,31.25
1993-01-22,6.59803,2.151786,18.1875,6.921875,1.302083,17.09375,14.65625,7.104167,10.958333,12.1875,3.585938,11.6875,10.53125,13.5,12.375,24.78125,21.3125,2.820313,2.640625,5.677083,12.625,19.59375,4,5.9375,24.169298,15.71875,14.957265,17.791666,18.375,21.1464,4.186535,43.782501,24.208334,14.765079,31.188362
1993-01-25,6.855514,2.160714,18.4375,7.125,1.305556,17.5,15.15625,7.083333,11.041667,12.3125,3.578125,11.5,10.46875,13.375,12.28125,24.96875,20.9375,2.820313,2.601563,5.65625,12.875,19.5,4.101563,6.015625,24.113091,16.25,14.628534,17.666666,18.3125,21.470804,4.236206,43.990002,24.5,14.547487,31.311638
