Date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-01-04,6.404917,2.0625,19.6875,6.734375,1.059028,17.40625,15.3125,7.104167,10.895833,12.5,2.695313,12.3125,10.4375,12.791667,12.1875,25.0625,21.6875,2.640625,2.585938,5.96875,13.21875,19.125,3.515625,6.046875,23.15756,15.6875,13.806706,19.083334,18.15625,21.446775,3.853031,40.358749,25.375,14.982669,32.606014
1993-01-05,6.404917,2.044643,19.875,6.765625,1.079861,17.25,15.3125,7.104167,10.916667,12.125,2.695313,11.9375,10.25,12.666667,12.15625,24.9375,21.25,2.648438,2.550781,5.822917,13.21875,19.03125,3.546875,6.09375,22.483068,15.625,13.92998,18.958334,18.15625,21.79521,3.902702,39.943748,24.416666,14.796163,32.236195
1993-01-06,6.469287,2.160714,19.875,6.84375,1.118056,17.3125,15.40625,7.145833,10.5625,11.78125,2.933594,11.625,10.28125,12.583333,12.1875,24.78125,20.8125,2.710938,2.511719,5.59375,12.90625,19.15625,3.578125,6.125,22.651691,15.25,14.176529,19.041666,18.09375,21.72312,4.002044,40.462502,23.333334,14.733994,32.297829
1993-01-07,6.437102,2.165179,19.9375,6.984375,1.105903,17.125,15.375,7.125,10.541667,11.65625,3.039063,11.375,10.0625,12.541667,12.125,24.78125,20.625,2.71875,2.542969,5.59375,12.75,19.15625,3.570313,6.109375,22.707899,14.71875,14.053254,18.708334,18.3125,21.07431,4.002044,40.77375,24,14.329897,31.804733
1993-01-08,6.404917,2.133929,19.3125,7.046875,1.100694,16.96875,15.03125,7.072917,10.416667,11.46875,3.054688,11.3125,10.03125,12.333333,12.125,24.84375,20.5625,2.695313,2.457031,5.604167,12.34375,18.96875,3.421875,5.984375,22.314445,14.75,13.847797,18.708334,18.1875,21.098339,3.916894,40.669998,24.375,14.329897,31.373274
1993-01-11,6.372731,2.205357,18.8125,7.078125,1.125,17.09375,15.09375,7.0625,10.583333,11.6875,3.078125,11.6875,10,12.666667,12.28125,24.78125,21.0625,2.695313,2.503906,5.677083,12.25,19.1875,3.460938,6,22.370653,14.625,13.888889,18.583334,18.0625,20.870054,4.002044,40.358749,24.583334,14.42315,30.941814
1993-01-12,6.340546,2.196429,18.875,7.03125,1.145833,17.15625,14.9375,7.03125,10.625,11.9375,3.125,11.53125,10.09375,12.708333,12.1875,24.59375,21.0625,2.773438,2.503906,5.635417,12.25,19.09375,3.554688,5.921875,22.651691,14.625,13.724524,18.25,18.21875,20.773935,3.97366,40.151249,24.75,14.609656,30.818541
1993-01-13,6.372731,2.1875,19,6.921875,1.159722,17.3125,15,7.03125,10.6875,11.875,3.101563,11.53125,10.15625,12.916667,12.1875,24.5625,21.25,2.757813,2.523438,5.458333,12.28125,19.09375,3.65625,5.984375,22.764107,14.6875,13.806706,18.208334,18.3125,19.92087,3.97366,40.877499,24.25,14.392066,30.263807
1993-01-14,6.372731,2.276786,18.625,6.90625,1.201389,17.28125,14.9375,7,10.875,11.9375,3.433594,11.4375,10.53125,13.083333,12.28125,24.78125,20.625,2.828125,2.574219,5.458333,12.46875,19.09375,3.875,5.890625,23.213768,14.84375,14.340894,17.833334,18.53125,20.497589,4.044619,42.330002,24.416666,14.298813,30.017258
1993-01-15,6.437102,2.142857,18.4375,6.953125,1.204861,17,14.96875,7.020833,10.916667,11.9375,3.421875,11.53125,10.78125,13.458333,12.3125,24.90625,20.8125,2.71875,2.648438,5.427083,12.5625,19.09375,4,5.84375,23.269976,15.0625,14.587442,17.708334,18.5625,20.569679,4.115577,43.056252,24.166666,14.360981,29.955622
1993-01-18,6.469287,2.071429,18.625,7.046875,1.194444,17.1875,14.75,7.010417,10.916667,12.15625,3.484375,11.625,10.65625,13.458333,12.28125,24.9375,20.6875,2.757813,2.632813,5.270833,12.5625,19.09375,3.914063,5.78125,23.269976,14.9375,14.628534,17.791666,18.375,20.749905,4.065906,42.744999,23.791666,14.485319,30.202169
1993-01-19,6.533659,2.116071,18.4375,7.03125,1.215278,17.09375,14.65625,7.010417,10.875,11.8125,3.570313,11.3125,10.5,13.583333,12.28125,24.75,20.3125,2.757813,2.613281,5.083333,12.40625,19.125,3.859375,5.8125,23.269976,14.875,14.50526,17.708334,18.375,20.569679,4.080098,42.122501,23.5,14.671825,30.448717
1993-01-20,6.469287,2.125,18.25,7,1.204861,17.09375,14.59375,6.885417,10.708333,11.65625,3.515625,11.34375,10.4375,13.416667,12.28125,24.46875,20.375,2.742188,2.613281,5.135417,12.375,19.21875,3.882813,5.828125,23.045145,14.875,14.50526,17.625,18,20.54565,4.00914,42.330002,23.416666,14.765079,30.325443
1993-01-21,6.437102,2.098214,18,6.8125,1.225694,17,14.4375,6.875,10.770833,11.46875,3.460938,11.4375,10.375,13.125,12.28125,24.53125,20.6875,2.710938,2.625,5.34375,12.28125,19.3125,3.890625,5.8125,22.93273,14.8125,14.546351,17.541666,18.03125,20.497589,3.994948,42.848751,23.625,14.671825,30.448717
1993-01-22,6.437102,2.107143,18,6.8125,1.274306,16.84375,14.46875,6.96875,10.833333,11.625,3.460938,11.4375,10.25,13.25,11.96875,24.4375,20.9375,2.773438,2.574219,5.5625,12.40625,19.4375,3.914063,5.875,23.551014,14.75,14.464169,17.625,18.21875,20.59371,4.044619,43.16,23.875,14.360981,30.880178
1993-01-25,6.404917,2.116071,18,6.765625,1.263889,17,14.59375,6.979167,10.75,11.875,3.484375,11.25,10.25,13.125,12.09375,24.34375,20.5625,2.742188,2.574219,5.572917,12.5625,19.3125,3.945313,5.9375,23.607222,15.9375,14.094346,17.541666,18.1875,21.12237,4.158152,43.471249,24.041666,14.360981,30.880178
1993-01-26,5.954319,2.160714,17.5625,6.90625,1.270833,17.40625,15.15625,7.083333,10.9375,12.1875,3.515625,10.875,10.4375,13.25,12,24.625,19.75,2.734375,2.578125,5.427083,12.46875,18.90625,3.96875,5.796875,23.551014,15.96875,14.710716,17.708334,17.96875,21.350655,4.158152,43.88625,24.416666,14.516403,31.25
1993-01-27,5.857763,2.098214,17,7.046875,1.229167,17.59375,15.09375,7.020833,10.625,12.0625,3.476563,10.90625,10.375,13.541667,11.65625,24.34375,19.75,2.671875,2.5,5.40625,12.40625,18.9375,3.875,5.796875,23.494806,15.90625,14.751808,17.708334,17.96875,21.374685,4.037523,44.197498,24.291666,14.733994,31.373274
1993-01-28,5.761206,2.116071,17.0625,7.03125,1.208333,17.8125,15.0625,7.041667,10.666667,12.4375,3.382813,10.90625,10.25,13.458333,12.15625,24.3125,20.0625,2.648438,2.507813,5.447917,12.375,18.96875,3.898438,5.765625,23.382391,16.0625,14.751808,17.5,17.78125,21.67506,3.980756,44.09375,24.625,14.578572,31.496548
1993-01-29,5.793392,2.107143,17.4375,6.96875,1.211806,18,15.15625,7.114583,10.6875,12.71875,3.3125,10.90625,10.375,13.458333,12.125,24.46875,19.9375,2.679688,2.523438,5.354167,12.40625,19.09375,4,5.78125,22.876522,16.1875,14.957265,17.25,17.1875,22.095585,4.051714,44.09375,24.791666,14.329897,31.804733
1993-02-01,6.243989,2.116071,17.5625,6.984375,1.236111,18.1875,15.28125,7.125,10.9375,13,3.34375,10.96875,10.625,13.541667,12.15625,24.46875,19.375,2.671875,2.566406,5.489583,12.4375,19.21875,4.0625,5.859375,23.213768,16.25,14.833991,17.625,17.28125,21.771179,4.087193,43.678749,25.041666,14.392066,31.25
1993-02-02,6.30836,2.151786,17.75,7.015625,1.263889,18.34375,15.34375,7.020833,11.020833,13,3.414063,10.78125,10.53125,13.625,12.28125,24.6875,18.625,2.726563,2.585938,5.25,12.5,19.46875,4.039063,5.84375,23.494806,16.40625,14.916174,17.75,17.46875,21.74715,4.108481,44.82,24.958334,14.516403,30.756903
1993-02-03,6.340546,2.089286,17.8125,7.09375,1.256944,18.46875,15.40625,7.052083,11.020833,12.71875,3.382813,10.75,10.4375,13.708333,12.46875,24.875,18.6875,2.75,2.660156,5.145833,12.5625,19.75,4.09375,5.84375,23.88826,16.5625,15.368178,17.833334,17.65625,21.975435,4.016235,45.857498,25.041666,14.858332,30.941814
1993-02-04,6.372731,2.107143,17.4375,7.234375,1.239583,18.4375,15.375,7.145833,11.0625,12.6875,3.3125,11.25,10.375,13.916667,12.5625,25.875,18.875,2.640625,2.695313,5.260417,12.59375,20.28125,4.078125,6.09375,23.944468,16.625,15.368178,17.958334,17.6875,22.227751,3.938181,47.724998,24.958334,15.697609,32.667652
1993-02-05,6.372731,2.008929,17.4375,7.328125,1.215278,18.6875,15.34375,7.177083,10.791667,12.90625,3.296875,11.15625,10.21875,14.083333,12.65625,26.40625,18.6875,2.570313,2.648438,5.1875,12.59375,20.46875,4,6.09375,23.663429,16.34375,15.450361,18.416666,17.4375,22.624245,3.831744,46.48,24.75,16.039537,33.777119
1993-02-08,6.404917,1.982143,17.625,7.296875,1.215278,18.65625,15.4375,7.1875,10.666667,13.03125,3.28125,11.1875,10.25,14.166667,12.625,26.875,19.1875,2.65625,2.558594,5.104167,12.78125,20.5,4.03125,5.921875,23.494806,16.28125,15.368178,19.166666,17.375,22.92462,3.831744,46.48,24.75,16.039537,33.838757
1993-02-09,6.404917,2.017857,17.625,7.203125,1.177083,18.9375,15.59375,7.166667,10.541667,13.21875,3.382813,11.09375,10.15625,14.041667,12.40625,27.0625,19.125,2.609375,2.492188,5.145833,12.90625,20.6875,4.023438,5.90625,23.551014,16.0625,15.203814,19.208334,17.21875,22.576185,3.80336,46.064999,24.416666,15.635441,33.345661
1993-02-10,6.340546,1.964286,17.375,7.015625,1.194444,18.84375,15.46875,7.166667,10.604167,12.90625,3.507813,11.25,10.09375,14,12.46875,27.125,19.3125,2.625,2.5,5.177083,12.875,20.53125,4,5.640625,23.719637,16.0625,15.039448,19.083334,17.09375,22.25178,3.824648,46.272499,24.458334,15.728694,33.468933
1993-02-11,6.340546,1.964286,17.0625,7.0625,1.215278,18.96875,15.53125,7.1875,10.6875,12.625,3.492188,11.21875,10.15625,14.083333,12.4375,26.875,20.125,2.648438,2.539063,5.28125,12.875,20.5,3.851563,5.65625,24.056883,15.9375,15.327087,19.291666,17.3125,22.552155,3.853031,46.895,24.25,15.9152,33.407299
1993-02-12,6.30836,1.919643,17.0625,7.078125,1.190972,18.78125,15.40625,7.072917,10.604167,12.625,3.460938,11.21875,10.0625,13.958333,12.40625,26.6875,20,2.601563,2.5625,5.322917,12.71875,20.25,3.484375,5.625,24.056883,15.9375,15.327087,19.416666,17.46875,22.227751,3.88851,46.48,24.25,15.9152,33.407299
1993-02-16,6.083062,1.839286,16.6875,6.96875,1.121528,18.6875,15.34375,6.916667,9.666667,12.1875,3.265625,10.5,10,13.208333,12.15625,26.3125,18.75,2.492188,2.25,4.979167,12.375,19.59375,3.109375,5.5,23.719637,15.5,14.546351,18.25,17.59375,21.326626,3.774977,43.678749,23.416666,15.666525,31.928007
1993-02-17,6.083062,1.857143,16.75,6.953125,1.069444,18.6875,15.4375,6.854167,10.125,12.4375,3.257813,10.3125,10.125,13.25,12,25.75,18.5625,2.414063,2.25,4.895833,12.4375,19.5625,3.007813,5.46875,23.663429,15.3125,14.669625,18.041666,17.46875,21.374685,3.902702,43.575001,23.166666,15.759778,31.434912
1993-02-18,5.986505,1.910714,16.75,7.015625,1.128472,18.625,15.1875,6.739583,10.041667,12.4375,3.351563,10,10.1875,13.125,12,25.25,18.5,2.46875,2.234375,4.822917,12.25,19.71875,3.0625,5.515625,24.113091,15.21875,14.792899,18.375,17.6875,21.398714,4.14396,43.678749,23.416666,15.759778,31.311638
1993-02-19,6.147432,1.955357,16.75,6.9375,1.159722,18.8125,15.46875,6.802083,10.208333,12.5,3.441406,10,10.3125,13.25,12.15625,25.6875,18.1875,2.484375,2.210938,4.541667,12.3125,19.90625,2.890625,5.5,24.225506,15.3125,14.710716,18.291666,17.75,21.12237,4.151056,44.612499,22.416666,15.790862,31.003452
1993-02-22,6.147432,1.955357,16.75,6.90625,1.142361,19.375,15.9375,6.864583,9.895833,12.625,3.546875,9.40625,10.28125,13.583333,12.40625,25.9375,17.875,2.398438,2.046875,4.375,12.34375,19,2.625,5.5,24.675169,15.15625,14.751808,18.375,18.125,21.098339,4.214918,44.82,20.666666,15.946284,31.373274
1993-02-23,6.147432,1.928571,17.0625,6.90625,1.097222,19.46875,15.8125,6.947917,9.25,12.6875,3.484375,9.59375,10.1875,13.458333,12.40625,26.03125,18,2.398438,2.015625,4.458333,12.40625,18.78125,2.5,5.5625,24.843792,14.6875,13.971071,18.041666,18.40625,21.170429,4.087193,43.16,20.416666,15.9152,31.496548
1993-02-24,6.179618,1.861607,17.125,6.9375,1.100694,19.25,15.8125,6.958333,9.916667,12.75,3.5,10.0625,10.28125,13.666667,12.375,26.03125,18.6875,2.460938,2.171875,4.78125,12.5,18.75,2.640625,5.5625,24.787584,15.03125,14.21762,18,18.3125,21.326626,4.065906,43.3675,21.291666,16.039537,31.311638
