Date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1/4/1993,6.404917,2.125,20.0625,6.734375,1.09375,17.4375,15.3125,7.135417,11.291667,12.9375,2.71875,12.5625,10.46875,12.916667,12.21875,25.1875,21.9375,2.65625,2.601563,6.041667,13.46875,19.3125,3.515625,6.046875,23.15756,16.03125,14.094346,19.125,18.3125,21.446775,3.966564,40.669998,25.791666,14.982669,32.9142
1/5/1993,6.404917,2.071429,19.875,6.796875,1.083333,17.40625,15.34375,7.114583,10.9375,12.5,2.703125,12.375,10.5,12.791667,12.21875,25.09375,21.9375,2.65625,2.59375,6.03125,13.34375,19.1875,3.585938,6.09375,22.707899,15.6875,14.053254,19.041666,18.21875,21.927376,3.902702,40.669998,25.291666,14.982669,32.667652
1/6/1993,6.501473,2.169643,20,6.84375,1.121528,17.3125,15.46875,7.166667,11.020833,12.21875,2.96875,11.96875,10.28125,12.625,12.1875,24.84375,21.5,2.71875,2.554688,5.677083,13.1875,19.15625,3.585938,6.203125,22.651691,15.6875,14.176529,19.083334,18.1875,21.927376,4.002044,40.56625,24.375,14.827247,32.297829
1/7/1993,6.565844,2.205357,20.125,6.984375,1.152778,17.34375,15.4375,7.197917,10.666667,12,3.078125,11.71875,10.34375,12.791667,12.21875,24.90625,21,2.78125,2.542969,5.71875,13,19.25,3.625,6.203125,23.101353,15.25,14.464169,19.125,18.46875,21.74715,4.129768,40.877499,24.25,14.392066,32.482742
1/8/1993,6.469287,2.169643,20.0625,7.0625,1.114583,17.125,15.28125,7.15625,10.604167,11.6875,3.117188,11.375,10.15625,12.541667,12.125,24.90625,20.6875,2.726563,2.546875,5.614583,12.625,19.125,3.5625,6.125,22.876522,15.03125,14.176529,18.833334,18.40625,21.398714,4.002044,41.396252,24.458334,14.360981,31.804733
1/11/1993,6.404917,2.214286,19.1875,7.125,1.128472,17.125,15.09375,7.125,10.625,11.6875,3.09375,11.78125,10.0625,12.666667,12.34375,24.84375,21.1875,2.726563,2.507813,5.677083,12.4375,19.1875,3.492188,6.046875,22.370653,14.8125,14.176529,18.958334,18.0625,21.12237,4.016235,40.877499,24.833334,14.485319,31.558186
1/12/1993,6.372731,2.241071,19.125,7.140625,1.15625,17.25,15.15625,7.104167,10.666667,12,3.15625,11.6875,10.1875,12.708333,12.28125,24.875,21.625,2.78125,2.539063,5.71875,12.34375,19.28125,3.554688,6.046875,22.764107,14.71875,13.971071,18.541666,18.21875,21.19446,4.122673,40.358749,24.791666,14.609656,31.434912
1/13/1993,6.437102,2.196429,19.125,7,1.163194,17.3125,15,7.072917,10.708333,12.25,3.195313,11.71875,10.25,12.958333,12.1875,24.625,21.5,2.796875,2.523438,5.572917,12.34375,19.09375,3.664063,6.03125,22.820314,14.84375,13.92998,18.583334,18.3125,20.54565,4.016235,40.981251,24.666666,14.702909,31.126726
1/14/1993,6.437102,2.285714,19.125,6.953125,1.204861,17.5,15.15625,7.083333,10.916667,12.09375,3.4375,11.78125,10.53125,13.125,12.40625,24.96875,21.625,2.882813,2.574219,5.552083,12.5,19.25,3.90625,6,23.494806,15,14.340894,18.416666,18.59375,20.54565,4.044619,42.330002,24.708334,14.516403,30.941814
1/15/1993,6.469287,2.178571,18.75,6.953125,1.229167,17.40625,15.09375,7.0625,11.0625,12.0625,3.5,11.5625,10.8125,13.5,12.5,24.96875,21.0625,2.734375,2.734375,5.5,12.625,19.21875,4,5.921875,23.663429,15.09375,14.628534,17.833334,18.875,20.569679,4.207822,43.16,24.583334,14.392066,30.017258
