Date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-01-04,3933200,32284000,2080400,1392000,66960000,1318800,3788400,9048000,8298300,14225600,59820800,4766000,5599600,1710900,2216800,1321200,5390000,72646400,6156800,10507200,3498000,199600,3851200,1980000,1379100,5240800,3511000,1043400,1744000,1585200,9075700,268400,5172600,1263000,608800
1993-01-05,5042000,46564000,2282600,719200,61070400,1824400,2935600,13648800,6638400,13935200,117472000,7351200,5303200,3233700,2509600,1512800,4486800,71529600,5926400,17601600,5549600,410800,1912000,2324800,929700,4211200,2318900,1382700,1791600,1707400,12304700,446500,15362400,912000,916600
1993-01-06,8037900,70350000,3455200,3518400,71200800,1970000,3002400,12327600,16992900,19358400,268435200,9334400,5133600,2238600,2306000,2793200,8534000,87440000,11753600,39673200,5225200,198800,6035200,1713600,1104500,9367200,5107500,877800,1050400,932800,20196700,279400,28331700,1824000,941100
1993-01-07,6018100,68034400,2806400,3789600,101548800,2715600,4107600,15777600,11016300,14734800,266057600,6120800,6296000,4186800,3049600,2489600,6981600,58748800,7113600,21616800,6669600,218400,3728000,4650400,1216700,14849600,2998800,1609200,1328800,3168000,16715800,616900,17230800,4758400,1443100
1993-01-08,6898600,80234000,3325400,2525600,107676000,2135200,5075600,14679600,9026100,15790800,121020800,10142800,5178800,2413200,2528400,1553200,6289600,43977600,16147200,14307600,5945600,281200,4376000,2753600,1394300,12702800,3243900,1244700,1489200,1606900,10980000,587800,10910100,1483000,1251200
1993-01-11,4474800,68432000,3842600,1303200,67824000,1527200,3474800,9278400,7389000,15498800,105164800,3801200,4223200,2197500,1584000,1647200,4861800,58348800,4918400,10785600,5250400,700400,3022400,1309600,1129800,6770400,2249200,980100,1294000,1075900,12285300,195000,7068300,1495500,705300
1993-01-12,5872500,86539600,1976800,1228000,90230400,1732400,4274400,8722800,6477300,19464400,151785600,3240400,3807600,3238200,2380800,1949600,4168600,85129600,8809600,11689200,3882400,318000,3324800,2512000,1133900,6278000,2183800,1234200,1925600,1215700,13876100,432400,5506800,2009800,1000600
1993-01-13,5073900,49910000,2090600,1910400,129830400,2132400,5813600,11511600,4328100,12833200,343283200,4542400,4834800,3203100,2722800,2315600,3468000,83696000,6844800,32706000,3125600,263200,4032000,2198400,1675100,7869200,3553600,1389300,1742400,4479400,13643500,227200,9390300,1850600,2305400
1993-01-14,9123300,91952000,2755800,1187200,153280800,2183200,3813200,14626800,4503900,17147200,235817600,5390400,9866800,5953500,2385600,1298000,9375200,121264000,14588800,16557600,2724800,763200,3163200,2915200,1253000,5972400,6744700,1581900,1556000,1538000,24486200,535400,5822100,1120700,1690100
1993-01-15,9495600,225657600,4322400,1779200,119858400,3079600,8676000,22267200,6339900,13492800,212144000,7080000,12236400,3752400,4562000,3997200,8125800,181958400,9603200,13640400,5464800,300800,5017600,4287200,2081400,9268000,5824500,4141500,1751200,936000,21988200,491700,8389800,1286800,1938500
1993-01-18,5351800,83409200,2415000,2005600,75765600,894000,4979600,6668400,2533500,11902000,147065600,3700000,3996800,2661000,1322800,1121200,4081400,50611200,4985600,15344400,2464400,918400,3859200,2235200,883800,2308000,4329600,1194600,1794000,321800,11559600,259800,6036600,1306900,909500
1993-01-19,5387100,68510400,2496800,2134400,98013600,1938800,4386400,10262400,4646100,20156800,130131200,5315600,6984400,9706200,2043600,1578400,6921000,52960000,8905600,25869600,2604800,313600,4409600,3376800,959000,4739200,2446000,1731000,1151200,878900,18632400,294000,10203900,1267900,666800
1993-01-20,4789700,39684400,2036400,1703200,83304000,1255200,5584800,18087600,3961800,13433200,93238400,4706800,3926000,8171400,1954800,1414400,5962600,47968000,9222400,21537600,2236000,242000,1700800,2488800,898100,3533200,2078500,1942800,3803200,582800,8915400,437500,8685000,961400,1270900
1993-01-21,4184500,46104800,2559200,4277600,116438400,1109200,5140400,13076400,5358600,14555600,97369600,3396000,4049600,5445600,1170800,1001600,4966400,73363200,8016000,16657200,1956000,256400,2075200,3900000,1276300,3745200,4859500,954000,1748400,896100,12031700,242100,7066500,541600,1324600
1993-01-22,8422400,36736000,2113800,2133600,80704800,2465600,5110800,15747600,3009600,13682000,91292800,4384800,5011600,2596200,1806400,1127200,4202000,49088000,5116800,25442400,3032400,134000,2393600,1566400,2069200,15911200,3834400,2003400,1726800,1036300,15835000,251200,5810700,1029400,973600
1993-01-25,19099100,50568000,2205200,5190400,73173600,5190000,8683200,10880400,4284300,12218000,68403200,6014000,5174000,1448100,3020000,1779600,4668000,49609600,4179200,17899200,2790000,243200,3888000,4587200,1304200,18720400,2900500,1415700,1430000,1219100,13536100,243100,6114300,756800,811200
1993-01-26,28371600,71405600,6560200,2633600,73360800,4422000,7774800,14232000,4777200,31217600,121520000,8658400,5815200,3066000,2251200,1297200,12080200,42345600,4668800,18987600,2378400,475200,2372800,5772800,977500,9707200,10476300,1686000,1734800,883100,14006400,265200,6583500,1278300,829600
1993-01-27,20677400,56655200,6150000,2438400,124588800,2478800,3419200,9942000,7687800,13230800,95401600,5360000,3444400,6870900,3767200,1333200,8476400,64192000,5916800,14565600,3421200,171600,3657600,3398400,958400,5958000,4072300,1039800,3116000,795200,8423900,308800,5690700,821100,562100
1993-01-28,13993700,46009600,3519200,867200,160876800,3632000,4399200,11901600,5388300,12382800,144377600,5914000,5980400,4331400,5251200,1414800,5148000,77030400,17318400,9002400,2546400,351600,2558400,3263200,898800,4600000,4112700,1734900,928800,1837900,8198400,313200,5020200,596300,1030600
1993-01-29,11119800,66525200,2263200,1144000,42429600,1750400,4369600,11989200,3706200,11926000,110473600,4711600,4676800,1787400,2644000,1242800,4251200,39424000,3747200,12926400,4040000,52000,1921600,1640000,1082500,5855200,3009400,2099400,3359600,1530700,8209000,199200,4559700,573400,1052700
1993-02-01,25752400,60138400,1809600,932000,73872000,2294000,3186400,8162400,4020300,12158000,102080000,4750000,5124000,2808600,2467600,749600,8558000,42854400,6809600,9957600,3292400,254800,3020800,2261600,973700,5254400,2265000,1342800,2691600,2002100,3886000,266200,6717600,624100,1362400
1993-02-02,11423500,45584000,1251600,1416800,97473600,2091200,3359600,14188800,4375800,10541600,64544000,10696000,3710800,1596300,4588400,1233600,15783800,70371200,4208000,27243600,2364400,191600,2020800,3932000,569100,4803200,3209600,1275000,1536000,674400,7467400,504400,4924200,643800,2081500
1993-02-03,12203500,66046400,2371600,3037600,77529600,3908800,5699600,10593600,5571900,12790400,100979200,7908400,5129600,2324100,2707200,2900400,12326600,71728000,5817600,37394400,2091600,1142400,2406400,3097600,878300,6535600,5537600,2013600,1504000,942000,9894900,783600,6203100,2643600,1673100
1993-02-04,10435700,52038000,2601400,3324000,83253600,2073600,4631600,9374400,4836600,9488400,171360000,6658400,5781600,3925500,3996400,4122400,8004200,124214400,8329600,20656800,3082800,1234000,1932800,2800000,1024200,5763600,4278500,2251200,1309600,1992100,12681700,599100,6387900,4291100,2873400
1993-02-05,9222000,91904400,2420000,3313600,205603200,3885200,4625200,16419600,5060700,12586000,141500800,6490000,8323200,5154300,3130000,4561600,7077800,177216000,12684800,23649600,5013600,369600,2020800,2696800,1066200,7206400,4243200,3351600,1137200,1981700,18861400,420000,6163200,3371000,3221800
1993-02-08,5059800,70268800,2594400,1189600,131868000,3173600,6978800,15696000,5786100,10330000,119747200,4230000,5872800,1293300,2394000,2681200,6084400,92665600,12316800,23893200,3788000,1156400,5531200,1540000,896400,4298000,2977500,2241900,841200,656800,13266600,302600,5402700,1915700,1179200
1993-02-09,4803100,59665200,1862800,1307200,150444000,2360000,3283600,11180400,6340500,14322800,166931200,5131200,4934800,2384700,2791200,1898000,5784800,64550400,10928000,16869600,2285600,281200,2118400,2080000,576100,4932800,3701500,1561200,1277600,381100,11439800,270600,4746600,1678000,1516100
1993-02-10,5551000,67071200,1972800,2071200,131364000,2539600,3584400,12478800,5548500,14409600,146563200,4556800,4782400,2068800,1763200,2120000,6864200,39193600,13228800,15680400,1668800,151200,2060800,13310400,801100,6403600,3477000,865800,1245200,630400,11342900,217500,4317000,921600,889400
1993-02-11,7476800,42067200,3512600,1112000,46310400,1770800,3760400,10106400,3414900,12374400,91852800,7104400,5831200,2583900,2102400,1580000,5995600,31635200,5120000,13128000,2196000,244400,9294400,7108800,694000,8712000,3771100,1197300,2051200,714300,10078100,188100,5810700,1744400,1484400
1993-02-12,9821500,68849200,2658000,2405600,75916800,1893600,3442800,8835600,3009600,6433200,61459200,4918800,3587600,2259300,1849600,881200,5016000,34752000,5904000,8552400,3740400,538000,26057600,5144000,577200,5415200,2791300,1656300,1726800,305600,9449200,247900,4796400,1170600,1300100
1993-02-16,8340500,101934000,4152600,3858400,228103200,3065600,6701600,23343600,23229900,11937600,194908800,11484000,9508800,4684800,6090000,1852400,10724400,91180800,36390400,28468800,4177200,1332800,25009600,5431200,1858600,10985200,5706700,2712000,1369200,1675900,17385200,434100,9390900,1876700,1482400
1993-02-17,6756700,62395200,2085600,2675200,309650400,2889200,5484000,18730800,12391200,8032000,156316800,10429600,7169600,4813200,5261200,2180000,9174600,121913600,23968000,29305200,3192800,135600,27227200,5513600,891600,9274800,4563000,2073600,1502800,1851300,40754600,223500,10804500,1998500,1608800
1993-02-18,7469300,70030800,3011400,3110400,216511200,2466400,6236800,29344800,11342100,8332400,167945600,10274800,7348800,3295500,2898400,3194400,8465000,138553600,14636800,28743600,4173600,650400,18908800,6932800,1091800,9714800,5376700,1444500,1819600,1359900,33336500,393000,9753900,1714600,1590300
1993-02-19,5861500,44450000,2102400,2276000,82569600,4020000,9307600,21496800,6539400,7657600,131974400,13322000,9060800,3911400,4471600,2925600,9102000,97094400,9024000,49737600,4220800,163600,15315200,5163200,1457200,8561600,5723800,2234700,1544400,2793500,15711700,225000,18028500,1074800,1994300
1993-02-22,4557400,24690400,2217800,1625600,97041600,3364400,7378800,15975600,14991300,7544800,106172800,16480400,5621600,2483100,4566400,1260000,9807800,76256000,13878400,34784400,3118000,1353200,29467200,4312800,1227300,11488400,3700200,1469400,1121200,1140100,11307700,320200,28360500,1023000,1069300
1993-02-23,7423700,48518400,1595200,1938400,141307200,2398800,6348000,17748000,28774800,6755600,83292800,12177200,5737600,3613200,4053600,1621600,9224000,105974400,29548800,29001600,2630400,984400,28924800,2716800,1069400,13950400,5262600,1152600,1204800,714700,12442100,243300,28441500,1148000,798600
1993-02-24,5077300,71640800,1685800,5100000,118555200,1918800,3684800,12176400,16937100,7446000,133068800,13063600,5016400,2629200,3235200,1734400,7753400,77548800,13801600,26046000,3281600,667200,25040000,707200,1138700,10124800,3533800,1160100,892800,651400,18107400,597100,16178700,1080500,801400
1993-02-25,5006300,41806800,1543800,1560000,85680000,1652800,4029200,10107600,10759500,10568400,136691200,6685600,5907600,1738800,4350400,919200,5727400,60806400,7836800,16596000,1958400,255200,12419200,2344800,788200,6551200,2429000,648900,1416800,1674900,14018800,215100,11649300,1397000,551600
1993-02-26,4765100,73721200,1351800,2514400,68911200,2032000,5196400,14098800,5814000,12123200,127846400,5227600,4832000,14774700,2338800,880000,3510200,29833600,8534400,14996400,2714000,610400,2747200,1353600,813200,8569000,2163400,848100,1445600,1183500,8644100,233200,9638700,1413400,378000
