date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-01-14,-1333783.2759,846846.9378,958597.0612,6254029.3321,1299290.0569,-4395643.2512,11161276.4523,-3068247.1185,-1666437.1293,644091.871,208288.875,143232.2792,1949589.6016,9163633.3945,286656.6782,7569439.1967,1817166.4842,-498821.591,2304537.9142,273492.9124,598885.5236,-1090500.9571,-6304797.368,-3674483.3378,-1379824.8263,-2921779.0486,2049340.4628,-1709779.1411,446938.3406,-481297.7054,10436075.268,-2627155.4754,324245.8063,-5703689.2721,-338401.2042
2000-01-18,-2128330.2093,743422.4665,-1379799.2648,8744942.1996,1167000.367,-5340062.0412,10238116.4701,-2450810.9886,-1227794.3353,941608.648,-34797.6105,-61870.4518,1774535.1967,6875843.1557,185176.1015,17807855.0757,-29902.2742,-975882.4788,1652552.2468,-823005.9803,3081453.0648,-1632096.6882,-9338637.7935,-5258314.9299,-1574804.8506,-3182054.0973,2593118.5561,1675332.1793,1072025.1408,-315322.8099,17512759.7206,-3137761.3418,2338559.1392,-4564458.2744,-914798.1028
2000-01-19,-2468049.8134,-1042168.6078,-766379.4649,12058765.7485,1936926.7332,-4851030.8151,10114461.4057,-3407351.5879,-1634218.8891,495753.2575,-121569.6187,-143765.2688,1983348.3769,8001878.6802,262043.8987,10499629.7052,-1771796.8625,-1095691.8154,1973372.8529,-524956.8716,5855412.2349,-1356040.6657,-15543412.9757,-4156354.9656,-662932.0505,-2915299.0806,4053615.5868,5931529.3395,673659.6372,1740573.5391,23465741.6375,-3606217.2561,5331013.0051,-3367872.9759,-1744992.0065
2000-01-20,-3055843.4344,-2937145.1675,-1167292.0335,12284289.6933,2349615.4527,-3397428.4516,7285056.888,-3707995.507,-2514509.0348,127303.0289,190366.3433,-56993.5786,2690213.075,7948665.1596,125779.4016,-1799185.9443,-1190067.6612,-1411483.1339,2978306.4778,-674810.3807,8021798.9649,-604849.0202,-27015833.4955,-8986057.256,-241900.2786,-2770240.2171,3948023.8926,5994248.3946,449450.146,1674246.235,20717426.7691,-4117708.6372,5229113.1803,-7774272.3559,-1964679.5809
2000-01-21,-3378188.2844,-3672703.5297,-3223113.8414,9144994.9609,1476295.7968,-213786.163,3165215.1486,-4811777.7121,-2795379.6642,504571.8158,-13017.5356,-34330.5292,751187.764,3575372.586,-203322.1265,-14830253.8514,-1856464.7157,-1855408.6611,2954151.7153,-1274041.0816,9990170.9031,-1280517.1926,-22505932.5298,-10095838.5494,-1017957.7323,-4780609.4853,5366609.9347,7259802.6994,143925.1696,544612.4826,24387760.3742,-3542838.3481,4308618.0987,-9501703.9257,-2175987.796
2000-01-24,-3488079.8454,-5102875.2415,-7607171.5045,5590508.3334,864012.6833,562244.9358,1585473.8007,-5736714.592,-3356546.0913,-49314.5942,-336936.2556,62285.529,-3884686.9463,1749500.4546,-346835.6492,-27106219.0609,-2614038.1997,-2087709.1387,1532324.6111,-1836938.816,9577099.0591,-3168386.3882,-28515081.522,-8462068.1212,-2138560.8647,-7021149.6777,4974002.4288,3550963.8148,-155559.8026,-1747830.836,17851085.9433,-3646771.4871,3047247.1586,-10226093.2978,-2725881.9468
2000-01-25,-3194019.6466,-4033965.9198,-9599527.6239,2277544.6919,1390000.0883,1440493.7392,3968468.3583,-3700685.3457,-4264107.2488,-695805.504,-514798.9279,-65514.9195,-7742146.5796,869964.7907,-455175.5868,-24828052.5789,-3786737.7813,-2293543.4042,989910.8568,-1613729.719,9908575.8431,-3652661.3874,-20956539.6077,-5296509.8441,-2040116.2089,-7602167.8438,2873343.965,4526822.667,-479740.9012,636767.8824,19934127.1483,-3476774.0369,3065200.2869,-8409046.9969,-1746081.7001
2000-01-26,-3044316.5541,-2826471.879,-13241170.2113,2682273.5333,1286982.7712,1096960.6819,2833705.372,-1255539.2325,-5182475.9435,-730953.5056,-674150.0532,32926.3624,-7314324.5295,1861070.5572,-16380.6586,-28595981.5607,-2490891.406,-2266148.3287,-2355849.1983,-94851.583,6220079.2194,-4680856.8595,-23412856.0538,-4484570.6877,244909.4437,-6229105.8834,1555012.9399,1267452.5047,-667175.954,1536887.522,13824886.9915,-2857520.0023,3370708.8436,-7737581.359,-2403615.7135
2000-01-27,-2826304.1971,-2209710.53,-16550495.3967,4086035.4654,315063.4193,-1345149.2671,2111874.571,-862039.83,-4706508.7019,-861215.1585,-882017.7847,-104195.6689,-5312437.4268,-637310.7708,107783.9931,-29953834.8024,-1916173.3646,-2434329.1012,-823098.0227,1312825.8113,2746315.7625,-6649727.1109,-22883131.5496,-4933161.4795,1695922.4439,-3060139.092,374655.6598,776750.0035,-1039907.4675,1898090.8075,8723816.9334,-2494321.953,2318059.9947,-6759474.3835,-2233652.9116
2000-01-28,-2776224.9519,-2338422.937,-20224678.8456,1707844.668,-437841.3695,-4018655.0452,633602.8759,-2381704.4664,-4483061.8715,-1505108.0104,-1235758.0496,-3496.9143,-4885786.3544,-2632.364,256268.2604,-30873954.9345,-2418059.7848,-2878004.9535,-548123.4934,254194.5201,-654579.812,-5516054.1448,-26330354.022,-5248824.6967,89440.0611,-4310130.9616,-1790618.2875,-2648629.17,-1258673.9498,-1342880.1358,176421.1089,-2890829.8462,1116178.1209,-6712865.2113,-2555868.8745
2000-01-31,-1975917.6101,-1098998.6547,-22560698.9194,214708.9228,-271783.6355,-2165961.7006,1449666.7189,-3027582.0951,-2884666.841,-1713121.4034,-1396326.9835,232806.8412,-3548280.338,2671438.1446,139124.1642,-19043841.7469,-280670.7641,-3011882.1844,-1040516.9917,792211.9113,-2321665.0173,-3614795.0073,-14879554.5972,-3620128.0081,930012.5353,-5231843.9496,-745571.204,1391573.5403,-764563.7888,719427.8852,7087444.0988,-3375212.1801,1141892.0706,-4141186.7619,-1844325.7949
