date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-02-10,54.2925,48.3495,42.2172,15.4377,24.5864,37.4781,39.7894,35.1038,10.9614,45.0067,9.7759,43.9621,31.0445,9.5347,21.0249,31.9371,22.8018,17.9802,28.674,28.3452,18.5311,31.455,41.4945,9.1994,30.1065,32.479,18.3331,17.7147,21.8247,27.7258,17.1812,29.0101,26.7577,11.2849,10.7679
2000-02-11,54.2463,48.9174,43.0346,16.1609,24.3386,37.6594,39.8901,34.1795,11.9262,45.7202,10.2985,45.8737,31.9475,9.4963,24.2932,31.3219,23.5998,20.0132,28.4049,28.3201,18.7584,32.487,40.7828,8.8402,28.8528,32.331,19.4425,17.09,23.4894,28.0585,18.983,31.1465,26.5143,10.7679,11.5035
2000-02-14,54.2034,49.0834,44.0074,17.2173,24.1084,37.9477,39.8011,32.6633,12.8221,46.0745,10.7838,47.6487,32.8389,9.7591,27.4318,30.7626,24.4101,21.901,28.9365,26.9995,19.4974,33.4453,40.3115,8.5262,27.6887,32.1935,20.3347,16.4244,25.0351,28.3673,20.2953,32.3288,26.8482,10.0181,12.1866
2000-02-15,53.2931,47.9221,44.9519,17.8722,24.2984,38.2154,38.5388,31.7597,14.0517,45.4787,12.5065,49.1751,32.8033,9.5165,30.5308,30.4359,25.0699,21.3636,29.4301,25.7733,20.4396,33.1824,40.3547,7.9896,26.7886,30.9718,19.4324,15.3151,25.1706,27.9383,21.0385,32.2145,27.4797,9.9924,12.3232
2000-02-16,52.4479,46.8438,45.5165,18.4802,25.4178,38.7896,37.4006,31.5979,15.0451,44.3072,14.3786,50.0433,32.5863,9.9741,33.5012,30.3373,25.3998,20.8645,29.5611,24.3715,21.3145,32.7332,40.3947,7.4913,27.2482,29.8373,18.5946,14.4949,24.6638,27.54,21.7286,32.1083,28.2923,9.4122,12.8081
2000-02-17,51.8688,45.301,44.3185,19.4905,25.8196,39.6006,35.5798,32.4843,15.4482,42.774,16.6218,50.5136,32.3849,10.4774,36.3006,30.2457,26.2473,19.8985,29.6827,22.6831,22.9796,32.0404,40.4319,7.6026,28.3051,29.7735,18.2071,14.2094,24.4457,27.3592,22.5535,32.3867,29.1902,8.8733,14.7249
2000-02-18,52.104,44.4529,43.2061,21.3475,26.4944,40.9661,33.574,33.4443,16.7207,41.3958,16.5392,51.4341,32.4424,11.4223,39.0315,30.6306,27.3888,19.6739,30.3798,22.2508,24.6808,31.997,39.4288,7.9116,29.4787,30.5708,18.5979,13.5131,24.4917,28.1869,22.6732,32.7467,30.3191,8.5204,17.2904
2000-02-22,52.3223,43.9925,40.2936,23.0719,26.3495,42.3496,32.4094,34.4284,18.0526,40.3375,16.4625,52.316,32.937,12.2998,41.6018,31.3701,27.8666,19.4653,31.0884,21.7145,25.9482,31.9963,37.3333,8.9422,30.5685,31.3111,19.1105,12.9558,25.0185,29.206,21.5789,32.7164,29.1655,8.8946,19.6726
2000-02-23,52.5251,43.565,38.22,24.6732,26.5129,43.8243,31.3279,35.3422,19.7232,39.3548,16.0574,53.1349,33.3962,13.2407,43.9886,32.1898,28.0534,18.1146,31.51,21.0717,27.3213,32.1897,36.3011,9.9627,31.6501,30.9707,19.9835,13.0873,25.9092,29.5437,22.4699,32.8053,28.0944,8.8237,21.9718
2000-02-24,53.4338,43.6323,35.6665,26.9757,26.6647,45.1936,30.4336,36.7771,21.9577,39.3562,15.802,54.3538,34.5363,14.367,46.3304,32.8957,28.8403,17.2201,32.6025,21.1198,29.176,33.4083,36.2314,10.6985,32.7268,31.0735,21.2237,13.6313,27.0983,30.2089,23.2972,33.2332,27.7529,8.733,24.7517
2000-02-25,54.4907,43.1432,33.1295,29.3378,26.0434,45.563,30.3673,38.1095,24.1683,39.4537,15.9364,55.4856,35.8349,15.7681,48.5173,33.8321,29.8999,17.4698,33.729,20.6082,30.9751,34.8639,36.1667,12.2024,33.7265,31.2342,22.7327,14.2961,28.534,30.8266,23.7032,33.7621,26.6553,8.9458,27.6476
2000-02-28,55.1866,41.2923,30.9437,31.5312,24.8287,45.0788,30.3057,38.441,24.9619,39.0851,16.0775,56.5366,36.5216,17.1068,49.6818,35.1022,30.6445,17.7437,34.8305,19.4828,32.7998,36.0248,34.8027,13.8211,32.7127,30.9164,23.6192,13.7845,28.6382,31.5066,23.2286,34.4312,25.7819,9.4551,29.914
2000-02-29,56.0483,38.9034,29.1024,32.1154,25.3256,44.0284,29.3132,37.4075,25.6988,38.5563,16.2086,57.7796,37.1593,17.7779,50.1539,36.2816,30.6983,18.0845,34.8753,18.1289,34.4941,36.7871,33.7213,15.9212,30.8676,30.0244,24.2646,13.6671,28.4754,31.675,22.9034,35.1875,25.2238,9.3969,31.8175
2000-03-01,56.8484,37.2581,28.6933,31.7327,25.787,41.379,27.7968,36.5658,24.1887,38.6893,15.0835,59.077,37.8294,18.4986,50.5922,36.2297,31.1686,18.4009,35.1643,17.1978,33.6096,37.5399,32.9578,18.0292,30.1816,29.1961,24.5134,13.9143,28.5688,30.9336,22.852,35.9336,24.8187,10.532,33.2316
2000-03-02,57.7346,36.3597,28.3135,31.9019,26.2155,40.5247,26.3888,34.5937,22.9512,38.6192,14.0388,60.2818,38.4934,19.1678,50.1222,35.6128,31.7288,18.6947,35.6444,16.3331,32.4559,37.2424,32.2869,20.0881,29.5892,27.67,23.9716,13.5692,27.723,30.1757,22.7772,36.8775,24.4425,11.586,34.5448
2000-03-03,56.996,35.3302,27.521,30.764,27.3215,39.7314,25.2496,32.5999,22.1268,37.4253,13.1826,60.6021,38.2866,17.9695,49.4743,33.696,32.7501,18.0534,35.0065,16.0423,31.5593,37.0814,32.1618,20.052,29.0391,26.3486,23.9231,13.9687,27.3914,28.1652,23.5575,35.7394,24.0932,12.4162,35.8765
2000-03-06,56.6926,34.6754,27.0867,30.4738,29.5163,38.1478,24.3459,31.6186,21.725,36.6296,12.3875,60.9527,38.1971,16.8567,49.1376,32.8636,33.8673,17.378,34.1921,16.489,31.1249,37.493,32.0456,21.0617,29.0156,24.4843,24.5582,14.7821,27.0835,26.7015,24.2821,34.1872,24.2316,13.3121,37.3775
2000-03-07,56.8112,35.0114,26.5705,30.4603,31.5543,36.2049,23.4078,31.104,21.6541,36.0945,12.5811,61.3376,41.0635,17.1321,48.9621,32.0436,35.6362,16.9754,34.2821,16.2794,32.1008,38.738,31.4202,21.9992,29.6971,23.8966,22.9533,15.0276,26.2902,26.5591,23.9498,34.0254,24.8808,13.2903,39.1541
2000-03-08,55.7252,35.5698,25.5134,30.8677,32.7945,34.1341,22.0744,30.9969,21.1421,35.5976,13.4787,61.9822,43.7296,15.9818,48.9862,31.5087,36.5138,16.8347,34.3658,15.1813,33.0069,39.1793,29.9274,22.8698,30.3299,23.4664,21.7779,14.4868,26.159,26.4831,23.4313,33.8752,25.883,12.7564,41.0248
2000-03-09,54.7167,34.8408,24.4209,31.4741,34.6983,31.8164,21.0644,30.8384,21.3046,36.0641,14.2308,61.1758,46.23,15.829,49.3115,29.6798,35.4836,16.8227,33.5463,14.3876,33.8484,38.9158,29.0188,23.2161,29.7665,23.4419,20.6645,14.7967,26.0372,25.0338,23.7943,33.8829,26.4567,12.4462,42.8731
2000-03-10,52.5588,33.8784,23.2717,31.8019,36.5757,30.0891,20.1266,30.5433,21.4556,36.1116,14.3106,60.3118,48.6931,16.2316,49.4581,27.8619,34.4303,16.5567,32.3627,13.6506,35.1978,38.2808,28.6157,23.1369,29.0534,22.7993,19.209,15.2855,26.1307,23.2487,24.4115,32.8833,27.4856,12.6563,42.9152
2000-03-13,50.5549,32.9847,23.0467,32.4528,37.2676,29.1516,19.4707,30.6891,21.0412,36.1558,14.3847,59.7569,50.9803,16.155,48.2215,26.1367,34.1352,16.7243,31.1957,13.2316,36.6987,37.8508,29.1044,23.6518,28.9979,22.6953,18.4809,14.5719,26.2175,22.8453,24.4046,31.9551,28.593,12.5205,42.5149
2000-03-14,49.1169,31.8102,22.8377,32.708,37.4421,28.281,18.8617,30.3893,20.618,35.27,14.4535,57.8657,52.8314,15.6484,46.4848,25.1463,34.0246,16.9281,31.0367,12.8425,38.1576,35.9744,29.234,23.7242,28.8671,22.7599,17.7807,14.2273,26.0839,22.4707,23.7993,30.3545,28.821,11.9407,41.868
