date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-02-08,-80.0,-60.0,-64.0,36.0,84.0,-60.0,88.0,-72.0,40.0,-68.0,-36.0,-72.0,-68.0,96.0,-56.0,-76.0,72.0,-80.0,-64.0,76.0,-36.0,-48.0,84.0,-32.0,-60.0,-44.0,52.0,88.0,-84.0,-76.0,92.0,-84.0,40.0,20.0,68.0
2000-02-09,-88.0,-68.0,-64.0,36.0,84.0,-56.0,100.0,-56.0,40.0,-68.0,-36.0,-84.0,-68.0,96.0,-56.0,-72.0,72.0,-80.0,-64.0,80.0,-36.0,-84.0,84.0,-32.0,-56.0,-44.0,-48.0,88.0,-88.0,-40.0,96.0,-88.0,-60.0,20.0,68.0
2000-02-10,-92.0,-72.0,-64.0,36.0,84.0,-52.0,88.0,-56.0,40.0,-76.0,-36.0,-88.0,-80.0,92.0,-56.0,-36.0,68.0,-92.0,-64.0,80.0,-36.0,-88.0,84.0,-32.0,-36.0,-44.0,-52.0,88.0,-92.0,-40.0,100.0,-92.0,-60.0,20.0,68.0
2000-02-11,-96.0,-76.0,-76.0,32.0,84.0,-40.0,88.0,-56.0,-36.0,-80.0,-36.0,-92.0,-80.0,88.0,-56.0,-36.0,-36.0,-96.0,-64.0,80.0,-60.0,-92.0,84.0,-32.0,-36.0,-44.0,-56.0,88.0,-96.0,-40.0,96.0,-96.0,-60.0,20.0,68.0
2000-02-14,-96.0,-76.0,-80.0,-72.0,80.0,-40.0,88.0,-56.0,-36.0,-80.0,-36.0,-92.0,-80.0,84.0,-56.0,-36.0,-40.0,-96.0,-84.0,80.0,-64.0,-92.0,84.0,-32.0,-36.0,-44.0,-56.0,84.0,-96.0,-40.0,92.0,-96.0,-72.0,20.0,32.0
2000-02-15,-92.0,-76.0,-84.0,-72.0,20.0,-40.0,48.0,-48.0,-44.0,-80.0,-36.0,-92.0,-80.0,44.0,-56.0,-36.0,-40.0,-84.0,-84.0,80.0,-68.0,-92.0,100.0,-32.0,-36.0,-44.0,-56.0,24.0,-52.0,-40.0,32.0,-92.0,-76.0,20.0,32.0
2000-02-16,-88.0,-76.0,-84.0,-72.0,48.0,-36.0,48.0,-100.0,-44.0,-80.0,-36.0,-76.0,-80.0,44.0,-56.0,-36.0,-40.0,-84.0,-92.0,80.0,-72.0,-80.0,100.0,-32.0,-36.0,-44.0,-56.0,24.0,-52.0,-40.0,32.0,-80.0,-80.0,20.0,32.0
2000-02-17,-84.0,-76.0,-84.0,-72.0,48.0,-100.0,48.0,-100.0,-52.0,-80.0,56.0,-76.0,-80.0,44.0,-56.0,-36.0,-52.0,-84.0,-92.0,76.0,-76.0,-80.0,96.0,-32.0,-96.0,-96.0,-56.0,52.0,-52.0,-40.0,32.0,-80.0,-84.0,20.0,-48.0
2000-02-18,-96.0,-76.0,-84.0,-88.0,48.0,-56.0,48.0,-92.0,-56.0,-80.0,56.0,-96.0,-68.0,-32.0,-56.0,-92.0,-56.0,-80.0,-100.0,64.0,-80.0,-80.0,92.0,-32.0,-100.0,-100.0,-56.0,52.0,-52.0,-96.0,32.0,-80.0,-88.0,16.0,-52.0
2000-02-22,-96.0,-76.0,-84.0,-88.0,48.0,-60.0,48.0,-96.0,-60.0,-76.0,56.0,-100.0,-96.0,-32.0,-56.0,-96.0,-56.0,-76.0,-100.0,64.0,-84.0,-76.0,48.0,-88.0,-88.0,-96.0,-56.0,52.0,-52.0,-100.0,32.0,-76.0,-92.0,-28.0,-52.0
2000-02-23,-92.0,-72.0,-80.0,-88.0,48.0,-64.0,48.0,-100.0,-64.0,-56.0,56.0,-96.0,-96.0,-32.0,-56.0,-100.0,-56.0,-68.0,-92.0,64.0,-88.0,-72.0,48.0,-92.0,-88.0,-88.0,-56.0,64.0,-52.0,-92.0,64.0,-72.0,-92.0,-28.0,-52.0
2000-02-24,-100.0,-68.0,-76.0,-100.0,48.0,-68.0,48.0,-100.0,-68.0,-56.0,-16.0,-100.0,-100.0,-44.0,-56.0,-100.0,-68.0,-68.0,-100.0,48.0,-92.0,-96.0,68.0,-96.0,-100.0,-88.0,-88.0,68.0,-84.0,-100.0,64.0,-68.0,-100.0,-28.0,-64.0
2000-02-25,-100.0,-64.0,-72.0,-100.0,48.0,-68.0,-44.0,-96.0,-72.0,-56.0,-20.0,-84.0,-100.0,-48.0,-100.0,-48.0,-72.0,-64.0,-100.0,48.0,-96.0,-100.0,68.0,-100.0,-64.0,-84.0,-92.0,72.0,-88.0,-96.0,64.0,-64.0,-96.0,-28.0,-68.0
2000-02-28,-100.0,-60.0,-64.0,-80.0,48.0,-68.0,-44.0,-92.0,-72.0,-56.0,-24.0,-84.0,-100.0,-52.0,-96.0,-52.0,-72.0,-44.0,-100.0,48.0,-100.0,-100.0,68.0,-100.0,-64.0,-80.0,-96.0,72.0,-88.0,-96.0,64.0,-60.0,-92.0,44.0,-68.0
2000-02-29,-100.0,-56.0,-64.0,-80.0,80.0,-68.0,-44.0,-88.0,-72.0,-56.0,-24.0,-96.0,-96.0,-56.0,-92.0,-52.0,-72.0,-44.0,-96.0,48.0,-96.0,-96.0,68.0,-100.0,-64.0,-76.0,-96.0,72.0,-88.0,-96.0,64.0,-56.0,-76.0,44.0,-68.0
2000-03-01,-92.0,44.0,-60.0,-80.0,80.0,-68.0,-44.0,-80.0,-72.0,-52.0,-32.0,-100.0,-84.0,-60.0,-88.0,-52.0,-72.0,-44.0,-92.0,44.0,-92.0,-92.0,84.0,-96.0,-64.0,-40.0,-92.0,84.0,-88.0,-52.0,64.0,-96.0,-76.0,84.0,-68.0
2000-03-02,-100.0,44.0,-52.0,-80.0,80.0,20.0,-44.0,-80.0,-72.0,-48.0,-32.0,-96.0,-84.0,-64.0,-84.0,-52.0,-72.0,-44.0,-88.0,-28.0,-88.0,-88.0,88.0,-100.0,-64.0,-40.0,-68.0,84.0,-84.0,-52.0,64.0,-100.0,-96.0,84.0,-68.0
2000-03-03,-96.0,44.0,-52.0,-80.0,92.0,24.0,-44.0,-76.0,-72.0,-44.0,-32.0,-92.0,-84.0,-68.0,-80.0,-52.0,-92.0,-44.0,-92.0,-28.0,-84.0,-76.0,92.0,-60.0,-64.0,-40.0,-68.0,92.0,-80.0,-52.0,64.0,-96.0,-96.0,84.0,-68.0
2000-03-06,-92.0,44.0,20.0,-64.0,96.0,24.0,-44.0,-40.0,-72.0,-40.0,-32.0,-84.0,-80.0,-72.0,-64.0,-52.0,-96.0,-36.0,-92.0,-28.0,-80.0,-76.0,92.0,-60.0,-64.0,-40.0,-68.0,96.0,-68.0,-52.0,64.0,-92.0,-100.0,84.0,-68.0
2000-03-07,-96.0,-20.0,20.0,-64.0,96.0,24.0,-44.0,-40.0,-72.0,16.0,-48.0,-84.0,-100.0,-76.0,-64.0,-52.0,-100.0,-36.0,-100.0,-28.0,-100.0,-100.0,92.0,-60.0,-96.0,-40.0,-68.0,100.0,-68.0,-52.0,64.0,-92.0,-92.0,84.0,-68.0
