date,Real Middle Band,Real Upper Band,Real Lower Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band
2000-01-14,56.1313,59.0005,53.262,61.5925,54.3615,57.977,23.0585,23.883,24.7075,49.6199,53.832,58.0441,100.7978,109.724,118.6502,47.1185,40.3575,43.738,29.1298,33.121,37.1122,68.7508,62.1112,65.431,61.046,55.006,58.026,59.0569,66.6951,62.876,65.1655,50.7725,57.969,34.4535,32.3105,33.382,112.36,122.8501,101.8699,29.5903,33.858,38.1257,52.089,45.515,48.802,105.3558,117.0282,111.192,78.124,64.542,71.333,106.3007,91.2133,98.757,43.4253,37.6867,40.556,71.513,73.9681,69.0579,63.0824,54.9656,59.024,96.9711,88.8169,92.894,100.4842,74.7498,87.617,121.7184,111.4676,116.593,65.4098,58.3542,61.882,156.2075,142.6385,149.423,82.707,88.5043,76.9097,178.6,194.5579,162.6421,90.7972,82.8048,86.801,143.4469,149.4867,137.407,111.0479,99.4921,105.27,47.7949,54.0951,50.945,45.4088,39.9432,42.676,111.5524,86.0116,98.782,160.1852,148.3848,154.285
2000-01-18,55.8,59.5223,52.0777,61.7597,54.6563,58.208,22.8874,23.839,24.7906,49.3849,54.382,59.3791,101.5117,109.34,117.1683,46.0689,40.2331,43.151,30.172,33.583,36.994,68.5004,62.1116,65.306,60.7013,55.1127,57.907,59.0888,66.7132,62.901,65.1267,51.8613,58.494,34.4737,32.2403,33.357,113.33,123.5218,103.1382,30.0088,34.32,38.6312,52.474,45.632,49.053,105.6581,116.4759,111.067,78.0021,65.2999,71.651,106.1031,91.9609,99.032,43.5901,37.8959,40.743,71.326,73.6186,69.0334,64.8603,54.9377,59.899,96.977,88.635,92.806,104.6252,73.6288,89.127,121.7071,111.4289,116.568,64.233,58.593,61.413,156.0455,142.4005,149.223,83.351,88.4388,78.2632,178.43,193.9501,162.9099,90.9987,83.7393,87.369,143.4844,149.5776,137.3911,112.5658,98.7542,105.66,48.2273,53.9247,51.076,45.6532,40.6608,43.157,108.0771,87.8869,97.982,159.4561,147.9839,153.72
2000-01-19,55.6375,59.7586,51.5164,62.0966,54.0314,58.064,22.8292,23.814,24.7988,50.4917,55.382,60.2723,101.327,110.08,118.833,45.9713,39.5927,42.782,30.6912,33.895,37.0988,68.5099,62.0521,65.281,60.6682,55.0718,57.87,59.3762,66.5758,62.976,64.6992,53.5768,59.138,34.4356,32.3284,33.382,114.36,122.9768,105.7432,31.1306,34.951,38.7714,52.9718,46.5962,49.784,104.7047,116.3053,110.505,77.0083,67.5437,72.276,104.2211,95.4789,99.85,43.7784,38.4216,41.1,71.651,74.4615,68.8405,66.0883,55.4717,60.78,96.4414,89.7346,93.088,107.0068,74.6792,90.843,121.7286,112.8954,117.312,63.7975,59.7045,61.751,155.5979,143.7921,149.695,84.226,86.9939,81.4581,179.98,197.3993,162.5607,90.4402,85.1598,87.8,144.2094,150.0737,138.345,114.1548,99.2252,106.69,48.8598,53.5542,51.207,46.7913,41.0227,43.907,109.4569,87.3191,98.388,159.7746,147.1854,153.48
2000-01-20,55.1063,60.1662,50.0463,62.6558,53.0482,57.852,22.4508,23.683,24.9152,51.4937,56.068,60.6423,101.3584,110.78,120.2016,45.4615,39.3525,42.407,30.8626,33.983,37.1034,68.4066,62.2694,65.338,60.0934,55.2206,57.657,59.3411,66.5969,62.969,63.732,56.156,59.944,34.4674,32.2466,33.357,115.2,120.8014,109.5986,32.4837,35.465,38.4463,53.2669,46.9871,50.127,103.8119,115.6361,109.724,76.6447,68.8453,72.745,104.2599,95.4161,99.838,44.0043,38.7817,41.393,72.013,75.0312,68.9948,67.1332,56.1908,61.662,96.1423,90.3837,93.263,107.7592,76.1268,91.943,122.0389,113.1851,117.612,63.78,59.534,61.657,155.0282,144.7998,149.914,84.532,86.025,83.039,181.33,199.5656,163.0944,90.1528,85.8592,88.006,144.6844,149.8339,139.5349,115.3328,99.9672,107.65,47.6088,54.2692,50.939,47.4454,41.0806,44.263,113.3972,85.2788,99.338,159.6941,147.4859,153.59
2000-01-21,54.4063,60.0576,48.7549,63.5428,51.2232,57.383,22.0114,23.577,25.1426,51.875,56.287,60.699,105.1487,111.99,118.8313,45.2861,39.3779,42.332,31.2524,34.095,36.9376,68.6228,61.8032,65.213,60.4221,55.0539,57.738,59.0653,66.6867,62.876,62.4341,58.1539,60.294,34.7814,31.6446,33.213,114.68,123.1345,106.2255,33.579,35.74,37.901,53.1739,47.6421,50.408,102.1972,116.0008,109.099,75.79,70.512,73.151,104.4871,94.0169,99.252,43.6474,39.5746,41.611,72.163,75.2014,69.1246,67.9629,57.3371,62.65,96.514,89.476,92.995,107.2853,80.4387,93.862,122.6253,114.0987,118.362,63.78,59.534,61.657,155.4378,144.0822,149.76,84.513,85.9766,83.0494,184.56,197.2927,171.8273,90.1104,85.8636,87.987,145.3531,147.7023,143.0039,116.2272,102.1328,109.18,46.6098,54.4182,50.514,47.7019,41.3501,44.526,116.3581,85.5799,100.969,159.5849,147.8751,153.73
2000-01-24,53.3938,59.2821,47.5055,64.5618,47.9542,56.258,21.5841,23.408,25.2319,52.1872,56.406,60.6248,108.6905,112.9,117.1095,44.8201,39.4179,42.119,32.1635,34.313,36.4625,68.4948,60.1072,64.301,60.8639,54.8761,57.87,58.3913,66.5607,62.476,63.2999,56.0641,59.682,34.5239,31.4781,33.001,112.63,126.5196,98.7404,33.5385,35.728,37.9175,52.8626,48.3154,50.589,99.9601,116.1999,108.08,75.5404,69.8236,72.682,104.1834,92.3106,98.247,43.7467,39.3993,41.573,72.188,75.2494,69.1266,68.363,57.763,63.063,97.6754,85.7526,91.714,106.6061,84.4799,95.543,122.3399,115.9841,119.162,63.8066,58.4074,61.107,157.2981,139.5859,148.442,84.444,85.8854,83.0026,184.89,197.2998,172.4802,89.428,86.246,87.837,144.8125,148.5972,141.0277,116.2046,102.7954,109.5,45.1986,54.2294,49.714,47.7019,41.3501,44.526,117.3059,85.9821,101.644,159.5861,147.7939,153.69
2000-01-25,52.3188,58.0074,46.6301,64.5681,45.5979,55.083,21.2326,23.202,25.1714,52.7346,56.613,60.4914,109.004,113.05,117.096,43.9723,39.3157,41.644,31.7189,34.475,37.2311,67.7673,59.6107,63.689,60.8639,54.8761,57.87,56.7058,66.6962,61.701,63.6489,54.7031,59.176,34.5108,31.0412,32.776,110.79,127.12,94.46,33.6719,35.772,37.8721,52.8201,48.3959,50.608,98.9799,115.2921,107.136,75.5491,69.4409,72.495,103.6943,90.6157,97.155,43.7953,39.3007,41.548,72.5,75.8405,69.1595,68.4636,59.0764,63.77,97.6847,83.9813,90.833,106.5438,87.7122,97.128,122.3577,116.1903,119.274,64.0707,56.7313,60.401,157.5743,136.7597,147.167,84.475,85.8679,83.0821,184.99,197.4179,172.5621,89.5545,86.2555,87.905,144.3812,148.3887,140.3737,116.6154,102.8446,109.73,43.3249,54.5171,48.921,47.918,41.534,44.726,119.7016,86.4864,103.094,160.6067,147.5333,154.07
2000-01-26,51.5625,57.2028,45.9222,64.0256,43.8904,53.958,20.6606,22.895,25.1294,53.9334,57.113,60.2926,109.2248,113.09,116.9552,43.0607,39.4013,41.231,31.6516,34.513,37.3744,67.0646,59.4514,63.258,60.8442,54.8558,57.85,55.478,66.698,61.088,63.6512,53.6368,58.644,34.4071,30.9709,32.689,109.07,125.7047,92.4353,33.8362,35.822,37.8078,52.7186,48.1714,50.445,96.9355,115.3365,106.136,75.5491,69.4409,72.495,102.8899,90.5821,96.736,45.1792,36.8668,41.023,73.363,77.7674,68.9586,68.299,59.691,63.995,97.5119,82.0421,89.777,105.8608,89.7572,97.809,122.4877,115.6103,119.049,63.9681,55.9979,59.983,156.643,135.679,146.161,84.35,85.8426,82.8574,185.16,197.1747,173.1453,89.5315,86.4165,87.974,144.0125,148.5517,139.4732,116.5658,103.0342,109.8,42.4267,54.2533,48.34,48.1187,41.9713,45.045,120.3618,89.3142,104.838,161.7844,147.1156,154.45
2000-01-27,50.8563,56.4288,45.2837,62.9415,42.3365,52.639,20.2739,22.57,24.8661,54.495,57.513,60.531,107.9494,112.7,117.4506,43.161,38.739,40.95,31.6659,34.857,38.0481,66.9778,58.3522,62.665,60.8059,55.3441,58.075,54.0639,66.2381,60.151,63.6677,52.4963,58.082,34.4897,30.3383,32.414,107.78,123.7419,91.8181,33.653,35.759,37.865,53.1675,47.2965,50.232,95.2107,115.6493,105.43,75.4439,69.4841,72.464,101.8064,90.7556,96.281,44.9424,36.0796,40.511,74.407,80.1199,68.6941,68.6895,58.9005,63.795,97.5296,79.4244,88.477,105.2624,91.7316,98.497,123.2051,113.6929,118.449,63.7397,55.6643,59.702,155.1268,135.1452,145.136,84.1,86.5855,81.6145,186.06,194.9752,177.1448,90.3679,85.0921,87.73,143.7312,148.7899,138.6726,116.0095,104.1505,110.08,41.7718,53.4942,47.633,48.022,42.468,45.245,117.427,96.811,107.119,164.1508,146.2892,155.22
2000-01-28,50.1563,55.2737,45.0388,61.1064,41.2336,51.17,20.0632,22.195,24.3268,54.657,57.563,60.469,107.0077,112.3,117.5923,43.2311,38.3569,40.794,31.665,35.051,38.437,67.571,55.759,61.665,60.481,56.083,58.282,52.153,65.549,58.851,63.0602,51.2898,57.175,34.2485,29.7795,32.014,106.31,122.0475,90.5725,33.6241,35.578,37.5319,53.4838,46.3562,49.92,93.5592,115.3888,104.474,76.2071,69.0469,72.627,100.5189,90.3331,95.426,44.7262,35.1838,39.955,74.945,80.3973,69.4927,69.6009,57.2651,63.433,96.2785,78.8995,87.589,104.3937,93.1883,98.791,124.0885,111.4715,117.78,63.3979,54.7061,59.052,153.3658,132.9562,143.161,83.444,87.2699,79.6181,185.01,197.2197,172.8003,91.309,83.151,87.23,142.8187,149.6234,136.0141,116.4985,103.2015,109.85,41.2996,52.2284,46.764,47.5622,43.3778,45.47,116.2313,98.9807,107.606,164.5658,146.3342,155.45
