date,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Middle Band,Real Upper Band,Real Upper Band,Real Lower Band,Real Middle Band,Real Lower Band,Real Upper Band,Real Middle Band
2000-01-31,60.2698,45.1927,52.7313,43.7895,53.9795,64.1695,25.3173,20.4237,22.8705,50.5208,55.6475,60.7742,118.6333,102.9707,110.802,42.31,46.4818,38.1382,34.2235,38.4991,29.9479,70.2356,55.8854,63.0605,61.421,55.45,58.4355,67.7741,52.8659,60.32,50.5075,57.141,63.7745,34.8983,30.1167,32.5075,123.1941,93.8859,108.54,38.3325,31.0225,34.6775,52.9288,45.2122,49.0705,107.114,118.7592,95.4688,65.9713,72.205,78.4387,89.4858,104.1292,96.8075,39.994,44.0104,35.9776,67.2259,79.9131,73.5695,68.0781,54.0169,61.0475,81.2145,89.86,98.5055,78.4992,107.4928,92.996,122.949,110.687,116.818,55.1119,65.2911,60.2015,133.7291,157.1549,145.442,87.9893,78.0747,83.032,196.8808,165.9892,181.435,91.1675,82.5265,86.847,136.3715,149.1534,142.7625,99.8777,115.4323,107.655,54.9213,41.8377,48.3795,40.3883,44.098,47.8077,117.3251,89.3939,103.3595,146.4451,163.8199,155.1325
2000-02-01,60.0472,44.6715,52.3594,43.0358,53.52,64.0042,25.3102,20.1868,22.7485,50.8149,55.91,61.0051,117.7144,102.7256,110.22,42.079,45.6557,38.5023,34.5295,38.3719,30.6871,69.8539,55.4551,62.6545,61.3681,55.4649,58.4165,67.7933,51.9657,59.8795,50.606,57.1755,63.745,35.0755,29.5705,32.323,123.3252,92.9848,108.155,38.4846,31.3824,34.9335,52.9763,45.0217,48.999,106.433,117.3598,95.5062,66.4938,72.664,78.8342,89.4559,104.1341,96.795,39.844,44.1193,35.5687,66.3877,81.8393,74.1135,67.9601,54.3229,61.1415,80.6471,89.491,98.3349,79.0525,108.3795,93.716,123.3292,109.7068,116.518,55.4082,64.6758,60.042,132.5393,156.9447,144.742,87.735,78.817,83.276,196.2303,166.1097,181.17,91.2147,82.4353,86.825,136.2227,148.8523,142.5375,99.1907,117.0893,108.14,55.0265,41.1885,48.1075,41.0195,44.276,47.5325,116.2242,89.3258,102.775,145.1533,166.2867,155.72
2000-02-02,59.9388,44.1362,52.0375,42.4548,53.142,63.8292,25.2845,19.9125,22.5985,52.0195,56.31,60.6005,117.7786,102.8614,110.32,41.9915,45.4346,38.5484,34.8105,38.585,31.036,69.7463,54.9697,62.358,61.4518,55.5122,58.482,67.9222,51.2178,59.57,50.9898,57.3165,63.6432,35.4496,28.7284,32.089,123.5157,92.1473,107.8315,38.1914,32.2066,35.199,52.8134,45.3786,49.096,105.8425,116.6438,95.0412,67.8344,73.2455,78.6566,89.8234,103.9536,96.8885,39.6785,44.3399,35.0171,66.3254,83.0516,74.6885,67.9654,54.3116,61.1385,80.2802,89.313,98.3458,80.5395,108.6045,94.572,123.2397,109.9403,116.59,55.5669,64.7421,60.1545,131.1825,157.3075,144.245,86.9558,80.2962,83.626,196.6641,166.6059,181.635,91.3289,82.2211,86.775,136.3789,148.8273,142.6031,99.9163,117.5537,108.735,55.0919,40.6671,47.8795,41.8572,44.501,47.1448,116.1505,89.0305,102.5905,145.3893,167.3407,156.365
2000-02-03,59.6146,43.4854,51.55,41.8432,52.767,63.6908,25.159,19.75,22.4545,52.7908,56.538,60.2852,118.1005,102.9795,110.54,41.854,45.0567,38.6513,35.067,38.9424,31.1916,69.7203,54.5527,62.1365,61.3005,55.5135,58.407,68.087,50.409,59.248,51.3651,57.4385,63.5119,35.8677,27.6853,31.7765,123.7303,91.2937,107.512,37.8015,33.0345,35.418,52.8154,45.3516,49.0835,105.333,115.5272,95.1388,68.6002,73.6455,78.6908,89.3175,104.1035,96.7105,39.447,44.5354,34.3586,66.4288,84.2232,75.326,68.1319,53.9641,61.048,79.579,88.969,98.359,81.6994,109.4016,95.5505,123.2937,109.9983,116.646,55.5593,64.6247,60.092,130.7773,157.2627,144.02,86.8075,80.6195,83.7135,198.0738,166.8362,182.455,91.6656,81.4844,86.575,136.6509,148.8741,142.7625,100.2704,118.6996,109.485,55.0487,39.9603,47.5045,41.9327,44.526,47.1193,116.105,89.007,102.556,146.0377,167.9523,156.995
2000-02-04,59.0075,42.9425,50.975,41.2771,52.336,63.3949,25.1343,19.5317,22.333,52.8709,56.563,60.2551,118.2602,104.5198,111.39,41.7665,44.8506,38.6824,35.392,39.1483,31.6357,69.7221,53.8129,61.7675,61.2414,55.5036,58.3725,68.1413,49.3367,58.739,51.5623,57.532,63.5017,36.0645,26.8695,31.467,123.9965,89.7125,106.8545,37.5012,33.6788,35.59,52.8671,45.1809,49.024,105.161,115.1484,95.1736,69.5226,73.9795,78.4364,88.2724,103.9746,96.1235,39.259,44.684,33.834,66.7129,84.9701,75.8415,68.1871,53.8339,61.0105,78.7594,88.4475,98.1356,84.7813,108.9247,96.853,123.2826,110.1714,116.727,55.5936,64.7024,60.148,130.5531,157.0759,143.8145,86.7471,80.2489,83.498,196.8612,171.4588,184.16,92.1299,80.0011,86.0655,137.3392,148.6702,143.0047,101.0824,119.9976,110.54,54.6568,39.4202,47.0385,42.0547,44.573,47.0913,116.4873,89.9247,103.206,146.8848,168.2152,157.55
2000-02-07,57.9571,42.5866,50.2719,40.5806,51.636,62.6914,25.0067,19.3463,22.1765,52.9393,56.582,60.2247,122.0263,103.2137,112.62,41.654,44.5431,38.7649,35.7355,39.1068,32.3642,68.8648,53.3952,61.13,61.3457,55.4933,58.4195,67.7227,48.4743,58.0985,51.6514,57.376,63.1006,35.9529,26.2191,31.086,123.2092,88.1748,105.692,37.6515,33.7785,35.715,53.0503,44.7347,48.8925,104.92,114.5146,95.3254,69.5228,73.995,78.4672,87.312,103.418,95.365,39.012,44.7426,33.2814,66.9013,85.7257,76.3135,68.2165,53.4175,60.817,78.29,87.6945,97.099,87.2254,109.0706,98.148,123.2579,110.2581,116.758,55.6153,64.2307,59.923,129.9159,156.2321,143.074,86.676,79.901,83.2885,198.7193,171.3007,185.01,91.9624,79.0436,85.503,137.3082,148.3637,142.8359,100.3516,122.6584,111.505,53.8799,38.9911,46.4355,41.6566,44.448,47.2394,117.9014,89.9666,103.934,147.4601,168.6399,158.05
2000-02-08,56.6153,42.5784,49.5969,40.1338,50.933,61.7322,24.8798,19.0232,21.9515,53.2634,56.6915,60.1196,123.9108,102.6392,113.275,41.5195,44.0474,38.9916,35.8195,39.2834,32.3556,67.9721,53.5129,60.7425,61.3816,55.5074,58.4445,67.0249,47.8091,57.417,51.5673,57.1635,62.7597,35.8599,25.5801,30.72,122.0546,87.3144,104.6845,37.9303,33.8367,35.8835,54.9562,41.6598,48.308,104.8045,114.0942,95.5148,69.6533,74.1295,78.6057,86.5798,102.6892,94.6345,38.8245,44.6503,32.9987,67.1215,86.8615,76.9915,68.2561,53.2159,60.736,77.8614,87.0945,96.3276,89.0077,109.5933,99.3005,123.3388,110.2582,116.7985,55.7385,63.8885,59.8135,129.5198,155.2092,142.3645,86.9188,79.1772,83.048,202.3394,169.7106,186.025,92.0974,77.9516,85.0245,137.389,148.0892,142.7391,99.5721,125.0379,112.305,53.3211,38.4939,45.9075,41.154,44.3135,47.473,119.227,90.353,104.79,147.7948,169.1452,158.47
2000-02-09,55.9123,42.0128,48.9625,39.5925,50.1765,60.7605,24.6422,18.8108,21.7265,53.511,56.7445,59.978,125.4101,102.6999,114.055,41.4445,43.7361,39.1529,35.8915,39.4469,32.3361,67.1913,53.4497,60.3205,61.3799,55.4951,58.4375,66.4582,47.1258,56.792,51.2817,56.8415,62.4013,35.8162,24.8428,30.3295,120.3612,86.6278,103.4945,37.8994,34.0426,35.971,56.4929,38.3851,47.439,104.536,113.5897,95.4823,69.4559,74.058,78.6601,85.8575,102.1245,93.991,38.5685,44.4392,32.6978,68.0362,87.2538,77.645,68.2394,52.8516,60.5455,77.2463,86.3915,95.5367,90.5138,109.5782,100.046,123.1858,110.2482,116.717,55.6552,63.6908,59.673,128.8812,154.1038,141.4925,87.4109,77.8351,82.623,203.6175,170.5525,187.085,92.6581,76.1849,84.4215,137.256,147.9002,142.5781,99.1081,127.7319,113.42,52.9494,37.7036,45.3265,40.2245,44.1135,48.0025,119.4857,92.0813,105.7835,147.8494,169.1506,158.5
2000-02-10,55.1519,41.6606,48.4063,39.2757,49.367,59.4583,24.2862,18.7298,21.508,53.2591,56.679,60.0989,127.188,102.282,114.735,41.4605,43.7665,39.1545,36.054,39.487,32.621,66.5712,53.2638,59.9175,61.2901,55.6909,58.4905,65.4599,46.6811,56.0705,51.3295,56.745,62.1605,35.7497,24.0283,29.889,118.6644,85.7686,102.2165,37.905,34.024,35.9645,57.4396,35.8754,46.6575,104.5455,113.605,95.486,68.6898,73.786,78.8822,85.0375,101.4645,93.251,38.206,43.8916,32.5204,69.0289,87.5491,78.289,68.1635,52.4465,60.305,76.3856,85.6165,94.8474,91.6914,110.0356,100.8635,123.1362,110.2598,116.698,55.6309,63.5651,59.598,128.7671,152.5619,140.6645,87.8351,76.6489,82.242,205.3955,172.0145,188.705,92.7197,75.1293,83.9245,137.1682,147.8381,142.5031,98.3791,131.6709,115.025,52.3213,36.9747,44.648,39.6351,43.948,48.2609,118.2162,95.9818,107.099,147.7667,169.1633,158.465
2000-02-11,54.2923,41.3015,47.7969,39.1715,48.4855,57.7995,23.8496,18.6224,21.236,53.008,56.5975,60.187,127.9115,102.4185,115.165,41.442,43.7744,39.1096,36.2075,39.6786,32.7364,65.8664,53.0616,59.464,61.2252,55.7998,58.5125,64.1875,46.2665,55.227,51.5387,56.4605,61.3823,35.4174,23.3986,29.408,116.8915,85.4165,101.154,37.7873,33.9417,35.8645,57.8367,33.8783,45.8575,104.152,113.2934,95.0106,67.0297,73.311,79.5923,83.7476,100.9684,92.358,37.8375,43.3645,32.3105,69.9956,87.7134,78.8545,68.1788,51.9312,60.055,75.6551,84.8195,93.9839,93.3728,109.8382,101.6055,122.9757,110.1323,116.554,55.6925,63.2965,59.4945,129.0407,150.2883,139.6645,88.1359,75.1921,81.664,206.6726,172.4674,189.57,92.868,73.625,83.2465,136.7351,147.6398,142.1875,98.7725,133.7475,116.26,51.5742,36.1028,43.8385,39.2017,43.823,48.4443,117.7626,97.6354,107.699,147.4724,169.2076,158.34
