date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-01-31,-112.3507,-102.6136,-131.6306,45.5662,-83.5381,-22.5852,77.3297,-205.2776,145.9026,-172.9591,-80.9998,-184.7744,-91.6925,48.1084,-133.6223,-142.0916,155.758,-63.1923,-109.0975,175.4234,-81.8489,-92.2898,38.818,-143.1199,-134.0596,-161.1922,-51.8933,-70.2316,-148.5455,-119.0676,-25.8155,-134.1783,11.2452,-38.9596,135.2115
2000-02-01,-88.0239,-82.8342,-113.1718,70.5923,-97.5993,9.567,67.9108,-114.7068,107.9586,-139.7797,-66.3342,-194.3575,-87.7631,92.8284,-97.0472,-74.3697,126.8782,-55.0918,-118.3945,213.3429,-84.1203,-86.3549,62.7082,-144.4869,8.8197,-125.0602,-17.9528,12.3222,-122.8308,-54.8439,147.3086,-107.9747,-27.0432,-22.3823,199.3056
2000-02-02,-90.0162,-66.1654,-110.869,56.7267,-7.4571,32.6279,94.1859,-81.1506,64.1714,-113.862,-38.3144,-187.3886,-87.6878,73.1917,-67.608,-61.0088,127.3907,-99.2031,-139.9771,162.182,-103.5563,-67.1704,69.0932,-88.7494,20.24,-112.1235,28.237,61.7946,-133.5992,-33.5451,125.2578,-86.2311,-4.789,-48.4623,140.7138
2000-02-03,-92.6186,-66.1701,-81.2224,-2.5982,79.6504,13.853,121.8313,-87.7755,24.3997,-110.437,-49.3477,-198.3801,-89.7063,36.1819,-60.6734,-42.0089,86.6019,-126.7682,-137.4011,136.285,-129.003,-89.8906,91.1609,-14.4682,2.883,-69.3784,-89.0119,98.2148,-160.3806,-14.1469,145.1513,-98.5414,-42.9553,-6.0634,89.4272
2000-02-04,-95.8639,-66.1817,-92.8185,-48.7527,155.1913,9.9299,104.6752,-96.726,25.3444,-114.5798,-30.4321,-172.3131,-101.0675,17.8527,-73.8139,17.5359,62.6381,-133.1641,-118.5305,108.4891,-109.3753,-92.0685,124.8548,-14.1486,36.405,-25.8466,-109.2389,139.9059,-177.9263,1.057,184.8078,-97.4587,-52.8481,46.5994,63.476
2000-02-07,-106.6147,-81.4054,-89.1451,-84.4773,283.8987,3.6566,105.5971,-106.7923,46.3836,-108.0585,0.891,-143.0057,-107.4774,75.891,-122.2731,16.8358,29.0151,-160.7942,-110.6739,98.6044,-94.4102,-98.3842,141.4247,-56.3029,-6.3797,-61.1356,-135.5014,141.1714,-153.5503,-17.1949,214.2432,-103.8208,-132.5001,88.876,65.0284
2000-02-08,-97.0605,-73.2452,-129.4781,-50.3803,223.5956,54.8292,74.8814,-43.024,53.7489,-102.7027,-26.9481,-128.4096,-90.3321,145.9256,-327.2813,72.6897,49.0159,-135.2688,-61.364,123.8205,-75.7805,-82.6886,163.4136,28.2654,37.5972,-63.8189,-140.0516,197.1831,-132.9841,44.9048,189.0872,-104.2959,-194.0585,108.164,77.7441
2000-02-09,-117.5859,-94.9584,-116.2728,-119.2196,179.8319,75.92,86.2259,-43.3351,-27.0885,-88.499,-63.5107,-128.4685,-87.5478,64.559,-290.0001,24.3276,-73.3866,-129.7419,-67.2808,96.4722,-70.1073,-100.485,105.9533,30.8827,0.3557,-83.4386,-224.667,141.6345,-163.2633,-7.5017,199.0631,-116.0786,-241.5095,99.341,-10.8815
2000-02-10,-136.8571,-97.8414,-93.4015,-150.8573,157.0191,52.9365,51.5459,-60.3646,-93.9214,-91.6075,47.2942,-138.5337,-106.8622,-38.7493,-225.3046,11.4748,-154.2138,-149.5206,-70.4843,70.9203,-70.7316,-129.2444,101.8923,42.5776,-8.6933,-80.749,-187.9076,142.7235,-137.701,-26.1986,196.7888,-137.0159,-187.3686,74.4589,-47.9159
2000-02-11,-134.3918,-105.6329,-124.0327,-135.0152,99.7688,-50.7379,70.3569,-78.2867,-186.3145,-109.2411,10.506,-129.3326,-94.8499,-86.9066,-174.5544,-54.955,-207.5602,-175.2008,-80.6475,71.495,-86.8689,-148.0727,97.6561,-6.2407,23.7425,-82.2971,-201.6164,108.2672,-148.3889,-87.1222,140.849,-174.0765,-155.6886,39.7346,-67.0233
2000-02-14,-137.2619,-101.6759,-145.6584,-137.5811,88.8431,-55.8931,30.5645,-30.5199,-198.404,-83.5224,19.4384,-116.0254,-104.019,-97.9812,-150.0834,-70.6392,-182.9229,-154.7077,-103.0232,22.6642,-96.2462,-132.7313,116.475,-23.4843,36.7889,-82.0233,-137.099,82.8196,-134.9633,-91.8553,114.552,-127.8058,-157.8445,79.7038,-51.8687
2000-02-15,-105.0666,-55.7392,-139.296,-97.1411,95.8607,-62.0051,-1.5759,-56.7382,-211.2163,-52.6686,129.7298,-102.1816,-69.2295,-25.6616,-140.3281,-92.8356,-152.9542,-68.3153,-112.2533,27.0571,-81.2182,-93.342,125.0932,-8.1252,19.8668,-37.982,-49.7692,72.0616,-88.4634,-56.5977,82.6024,-76.3252,-141.2876,138.3709,-19.6265
2000-02-16,-90.0018,-49.1243,-123.0336,-101.827,131.6841,-113.5358,18.2569,-147.2862,-162.7,-26.3715,171.0876,-88.3843,-63.9138,-125.7594,-127.3591,-99.7876,-129.3166,-43.5104,-112.702,4.906,-92.2438,-72.9505,95.6711,-6.6729,-74.3873,-57.8793,-31.8318,86.3431,-58.7918,-67.374,73.6844,-74.1923,-139.1532,80.3544,-77.3775
2000-02-17,-92.7707,-1.337,-69.7819,-123.3128,90.5991,-110.3359,-28.1341,-248.8294,-150.3715,3.2841,222.7962,-78.9992,-62.8748,-126.343,-114.6013,-81.1883,-136.1974,-12.079,-106.6486,-25.4071,-126.8206,-69.1516,101.0691,31.9615,-151.1319,-138.4868,-64.5981,97.2794,-60.5169,-85.1521,78.5761,-91.8481,-121.7139,78.3845,-160.3098
