date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-02-01,-35.3116,-35.9406,-32.7078,18.1976,-23.5437,-20.4064,24.4996,-23.3602,-1.5044,-30.058,2.4901,-29.927,-13.2988,34.7354,-5.7131,-25.815,26.0647,-0.5928,-14.4648,28.8136,6.3428,-18.9815,21.1578,-14.1176,-8.2707,-29.9145,14.9601,-3.9347,-1.7742,-9.8901,14.202,-23.09,18.561,-12.6283,20.3816
2000-02-02,-36.5016,-32.5041,-36.0467,16.0799,-12.0885,-19.7383,28.2775,-24.073,-2.5199,-29.7784,7.5474,-37.5509,-14.6488,25.7548,-2.4808,-28.8391,26.2191,-4.4793,-19.1043,24.075,0.1204,-17.5808,18.6978,-5.0142,-11.2967,-32.8448,16.6282,-2.6512,-4.0547,-9.5732,7.727,-21.7303,22.313,-14.0359,10.6812
2000-02-03,-40.8895,-34.2536,-29.2937,10.0999,-5.847,-21.6451,30.1322,-24.073,-6.0676,-31.8604,5.5466,-43.2337,-15.9472,22.5729,-0.5816,-21.9365,23.7711,-6.3937,-21.0977,25.7743,-3.7092,-21.8506,23.7338,3.3774,-11.9085,-18.8512,11.3267,3.0216,-8.7915,-4.1967,12.9239,-25.6385,14.7854,-8.2966,8.1956
2000-02-04,-42.7016,-34.5935,-32.8047,3.9907,2.9776,-21.6451,30.8789,-28.9613,-5.5101,-35.7239,10.3566,-41.9286,-20.6868,23.236,-5.564,-15.1426,19.1753,-12.3944,-20.3485,20.7181,-0.1411,-24.3596,24.4477,-0.1044,-9.9292,-13.2615,6.0061,4.0296,-18.9813,-5.5598,17.0834,-25.6385,17.3064,-2.63,5.3229
2000-02-07,-45.6814,-40.9656,-33.4626,2.5698,19.4681,-22.137,30.1178,-30.2402,-0.022,-36.1877,15.1381,-42.4803,-22.9293,29.8258,-11.2307,-15.0049,19.6766,-15.4949,-21.119,21.7302,2.0928,-25.8254,28.1078,-3.5248,-15.32,-21.7474,5.5459,6.1619,-16.6007,-6.0778,21.9588,-29.3075,4.5713,4.1887,7.0547
2000-02-08,-42.47,-39.4633,-42.4456,8.3419,11.3124,-20.9382,27.4766,-15.5732,-3.357,-36.6688,6.0801,-43.9744,-17.1198,33.7076,-34.8184,-7.5182,20.1975,-15.3146,-12.4071,28.0373,3.2111,-23.5607,29.1567,6.9599,-8.8505,-20.3755,-0.7675,12.4561,-19.1547,-0.9154,22.6593,-30.1629,0.3307,5.0761,8.1162
2000-02-09,-47.6736,-43.281,-40.0055,1.2848,10.9416,-17.1067,27.9315,-19.8548,-8.457,-37.6327,-1.586,-47.851,-19.9088,19.2999,-41.2877,-17.6184,4.8946,-15.4535,-14.4403,20.2872,2.4561,-28.0875,20.5197,3.5698,-14.5287,-25.133,-9.2589,5.8811,-29.2239,-8.2676,26.1483,-36.238,-9.2359,2.3056,-4.172
2000-02-10,-43.131,-44.5089,-35.3133,-0.5979,13.9587,-19.4627,23.2366,-21.8542,-11.5535,-38.9543,11.3168,-51.6554,-23.8544,10.8434,-41.2877,-13.2354,-2.7458,-19.2413,-16.2488,20.8654,1.1848,-32.1915,24.3246,7.3272,-11.8875,-21.6145,-10.3694,10.7708,-20.5794,-7.4885,33.6096,-39.4125,-5.2736,3.3547,-7.7918
2000-02-11,-46.0981,-46.9277,-42.0221,0.6079,5.3204,-26.8588,26.7816,-24.1653,-15.7912,-43.375,4.6412,-52.1248,-18.318,10.8434,-40.1025,-22.4523,-13.2284,-25.8095,-18.9077,19.0116,-3.4135,-33.3132,20.873,-1.3438,-10.2355,-24.3563,-16.2042,6.5572,-28.4061,-14.1358,24.3004,-44.9652,-4.5814,-2.5887,-9.5052
2000-02-14,-46.7858,-44.4098,-42.9338,0.6079,7.8771,-23.7444,21.263,-13.5598,-18.4679,-32.2564,7.378,-52.649,-21.3152,10.8434,-43.4764,-22.9075,-10.5199,-25.9338,-23.7321,6.9576,-8.9268,-32.5302,25.9639,0.2176,-9.3856,-22.6726,-6.8336,6.2856,-28.9048,-11.7472,23.5753,-29.0685,-12.2003,5.8792,-8.4446
