date,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD,MACD_Signal,MACD_Signal,MACD_Hist,MACD,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD,MACD_Signal,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD,MACD_Signal,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD,MACD_Signal,MACD_Hist,MACD,MACD_Signal,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Signal,MACD_Hist,MACD,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Signal,MACD_Hist,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD,MACD_Hist,MACD_Signal,MACD
2000-02-18,-3.8809,0.3029,-3.578,1.0946,-3.5011,-4.5958,-1.3636,0.1605,-1.2031,0.0668,-0.6427,-0.5759,1.4195,4.5489,3.1294,-0.7906,-0.1848,-0.9753,-0.5461,1.467,0.9209,-0.51,-3.1943,-3.7043,-0.8786,-0.2837,-1.1623,1.0112,-3.9215,-2.9103,1.072,-0.8128,0.2593,-2.4572,-0.0558,-2.513,1.2535,-6.5352,-5.2817,-0.3806,-0.0305,0.3501,-3.945,-1.5742,-5.5192,0.0048,-3.4758,-3.471,-1.7989,-0.1635,-1.9624,0.5038,-3.5009,-2.9971,0.0087,-2.1176,-2.1263,-1.5693,1.9035,3.4728,-1.5235,-2.1608,-0.6372,-4.4919,0.5371,-3.9547,-0.5258,5.4325,4.9067,-0.5329,-0.0218,-0.5547,-0.322,-1.1262,-1.4482,0.1854,-5.0719,-4.8865,-1.4994,-0.2278,-1.7273,4.4945,0.6225,5.117,0.0008,-2.9965,-2.9957,-0.2424,-1.418,-1.6604,5.7208,0.1939,5.9147,0.3885,-3.7464,-3.3579,-0.8561,-0.8655,-1.7216,0.0398,3.4169,3.4566,-3.0331,1.8801,-1.153
2000-02-22,-3.8022,0.3146,-3.4876,1.2161,-3.0757,-4.2917,-1.2957,0.2714,-1.0243,-0.1029,-0.679,-0.7819,1.172,4.5944,3.4224,-0.8751,-0.338,-1.213,-0.7059,1.2905,0.5846,-0.5963,-3.3434,-3.9397,-0.8545,-0.4973,-1.3518,1.0532,-3.6582,-2.605,0.8978,-0.5883,0.3094,-2.4588,-0.0063,-2.4651,1.1849,-6.239,-5.0541,-0.3911,-0.1388,0.2523,-4.3015,-1.4261,-5.7276,-0.1804,-3.5209,-3.7013,-1.4604,-0.5286,-1.989,0.6853,-3.3296,-2.6443,-0.0125,-2.1419,-2.1294,-1.5114,1.5836,3.095,-1.6741,-2.2763,-0.6022,-4.3463,0.5823,-3.7639,-0.6731,5.2642,4.5911,-0.6034,-0.2821,-0.8855,-0.4278,-1.2332,-1.661,0.1706,-5.0293,-4.8587,-1.5655,-0.2641,-1.8296,4.5549,0.2416,4.7964,0.0187,-2.9918,-2.9731,-0.3757,-1.5119,-1.8876,5.6522,-0.2744,5.3778,0.4219,-3.6409,-3.2191,-0.6212,-1.0208,-1.6421,-0.0584,3.4023,3.3438,-3.2681,1.0631,-2.205
2000-02-23,-3.7371,0.2604,-3.4767,1.1361,-2.8716,-4.0077,-1.2202,0.3022,-0.918,-0.2702,-0.6691,-0.9392,1.1029,4.801,3.6981,-0.9891,-0.4562,-1.4453,-0.733,1.1073,0.3743,-0.6608,-3.5086,-4.1694,-0.9177,-0.7267,-1.6444,1.0098,-3.4057,-2.3959,0.6473,-0.4265,0.2208,-2.449,0.0392,-2.4098,0.9931,-5.9907,-4.9977,-0.3476,-0.1822,0.1654,-4.5894,-1.1517,-5.7411,-0.2269,-3.5776,-3.8045,-1.3181,-0.8582,-2.1763,0.9326,-3.0964,-2.1639,0.0148,-2.111,-2.1257,-1.4165,1.3244,2.7409,-1.8154,-2.3808,-0.5653,-4.2312,0.4602,-3.771,-0.6313,5.1064,4.4751,-0.7456,-0.5685,-1.3141,-0.3852,-1.3295,-1.7147,0.2537,-4.9658,-4.7121,-1.6431,-0.3104,-1.9535,4.7175,0.6506,5.3681,-0.0995,-3.0167,-3.1162,-0.324,-1.5929,-1.9169,5.7355,0.333,6.0685,0.4219,-3.5355,-3.1136,-0.5439,-1.1568,-1.7007,0.0078,3.4042,3.412,-3.3175,0.2337,-3.0839
2000-02-24,-3.7143,0.0913,-3.623,1.0987,-2.6344,-3.7331,-1.145,0.3008,-0.8442,-0.4535,-0.7331,-1.1866,0.8851,4.8044,3.9194,-1.1174,-0.5133,-1.6307,-0.7816,0.9119,0.1302,-0.5785,-3.6532,-4.2317,-1.0461,-0.9883,-2.0344,0.8414,-3.1954,-2.354,0.1647,-0.3853,-0.2206,-2.4429,0.0242,-2.4187,0.7395,-5.8059,-5.0664,-0.3636,-0.2891,0.0745,-4.8248,-0.9413,-5.7661,-0.1796,-3.6225,-3.8021,-1.2242,-1.1642,-2.3884,0.9833,-2.8506,-1.8673,-0.0293,-2.1624,-2.1331,-1.3951,0.9969,2.3921,-1.9624,-2.5503,-0.5879,-4.1697,0.2462,-3.9235,-0.2867,5.0347,4.748,-0.8955,-0.5998,-1.4952,-0.4378,-1.4389,-1.8767,0.3697,-4.8734,-4.5037,-1.7492,-0.4244,-2.1735,4.9968,1.1171,6.1139,-0.2564,-3.0808,-3.3372,-0.4356,-1.7018,-2.1374,5.8757,0.561,6.4367,0.3325,-3.4523,-3.1198,-0.4927,-1.28,-1.7727,-0.0492,3.3919,3.3428,-3.6937,-0.6897,-4.3834
2000-02-25,-3.7396,-0.1013,-3.841,1.1033,-2.3539,-3.4572,-1.0782,0.2671,-0.8111,-0.6561,-0.8105,-1.4666,0.3537,4.3615,4.0078,-1.2464,-0.5158,-1.7622,-0.9192,0.6821,-0.2371,-0.6789,-3.8229,-4.5019,-1.0909,-1.261,-2.3519,0.6685,-3.0283,-2.3598,-0.2302,-0.4429,-0.6731,-2.4319,0.0441,-2.3878,0.3796,-5.711,-5.3314,-0.3987,-0.4238,-0.0252,-5.0118,-0.748,-5.7598,-0.327,-3.7043,-4.0313,-1.206,-1.4657,-2.6717,0.6545,-2.687,-2.0325,-0.0603,-2.2084,-2.1481,-1.3387,0.7186,2.0574,-2.1186,-2.7435,-0.6249,-4.1633,0.0255,-4.1378,-0.1654,4.9934,4.8279,-1.0803,-0.7393,-1.8196,-0.4386,-1.5486,-1.9871,0.156,-4.8344,-4.6784,-1.8915,-0.5693,-2.4607,5.2449,0.9926,6.2376,-0.3375,-3.1652,-3.5026,-0.4981,-1.8263,-2.3244,5.9592,0.3338,6.2929,0.2746,-3.3837,-3.1092,-0.3433,-1.3658,-1.7091,-0.4214,3.2866,2.8651,-4.0614,-1.7051,-5.7664
2000-02-28,-3.7873,-0.1906,-3.9779,1.1719,-1.9924,-3.1643,-1.0109,0.2693,-0.7416,-0.8428,-0.7467,-1.5894,0.24,4.3078,4.0678,-1.3412,-0.3794,-1.7207,-0.8518,0.4691,-0.3827,-0.5636,-3.9638,-4.5274,-0.9022,-1.4865,-2.3887,0.6165,-2.8741,-2.2576,-0.4496,-0.5553,-1.0049,-2.4099,0.0879,-2.3221,0.3936,-5.6126,-5.2189,-0.4116,-0.5397,-0.1281,-5.1262,-0.4577,-5.5839,-0.3526,-3.7924,-4.145,-1.0306,-1.7234,-2.7539,0.4826,-2.5663,-2.0837,-0.0486,-2.2089,-2.1603,-1.1199,0.6576,1.7774,-2.2577,-2.8141,-0.5564,-4.1704,-0.0283,-4.1987,-0.1837,4.9474,4.7637,-1.3307,-1.0015,-2.3322,-0.1588,-1.5883,-1.7471,0.2699,-4.7669,-4.4971,-2.0058,-0.4573,-2.4631,5.447,0.8084,6.2554,-0.1184,-3.1948,-3.3131,-0.316,-1.9053,-2.2214,5.954,-0.0209,5.9331,0.2266,-3.3271,-3.1004,-0.271,-1.4336,-1.7045,-0.4788,3.1669,2.688,-3.5656,-2.5965,-6.1621
2000-02-29,-3.8228,-0.1422,-3.9651,1.1905,-1.6761,-2.8666,-0.9424,0.2741,-0.6683,-0.9639,-0.4844,-1.4482,0.4764,4.6634,4.1869,-1.3947,-0.214,-1.6087,-0.6894,0.2968,-0.3926,-0.2622,-4.0294,-4.2916,-0.7831,-1.6823,-2.4654,0.5702,-2.7316,-2.1614,-0.5789,-0.7,-1.2788,-2.3876,0.0893,-2.2983,0.401,-5.5123,-5.1113,-0.4008,-0.6291,-0.2283,-5.1685,-0.1693,-5.3378,-0.4553,-3.9062,-4.3616,-0.8509,-1.9361,-2.787,0.4847,-2.4452,-1.9605,0.0205,-2.1346,-2.1551,-0.833,0.7362,1.5692,-2.3845,-2.8916,-0.5071,-4.188,-0.0704,-4.2584,-0.1923,4.8993,4.707,-1.6339,-1.2129,-2.8468,0.0834,-1.5674,-1.484,0.5581,-4.6274,-4.0692,-2.0631,-0.2293,-2.2924,5.685,0.9519,6.6369,0.0626,-3.1791,-3.1165,-0.0842,-1.9264,-2.0106,5.9054,-0.1942,5.7111,0.1831,-3.2813,-3.0982,-0.2022,-1.4841,-1.6863,-0.4312,3.0591,2.6279,-2.9422,-3.332,-6.2742
2000-03-01,-3.8582,-0.1414,-3.9996,1.1659,-1.4092,-2.5751,-0.8706,0.2872,-0.5833,-1.0372,-0.2934,-1.3307,0.5041,4.817,4.3129,-1.3485,0.1849,-1.1636,-0.5101,0.1692,-0.3409,-0.0069,-4.0311,-4.038,-0.2691,-1.7496,-2.0187,0.5278,-2.5996,-2.0718,-0.3998,-0.7999,-1.1997,-2.3579,0.1188,-2.2391,0.4585,-5.3977,-4.9391,-0.3869,-0.712,-0.325,-5.1566,0.0477,-5.1089,-0.3683,-3.9983,-4.3666,-0.7756,-2.13,-2.9056,0.3514,-2.3573,-2.0059,0.0505,-2.092,-2.1425,-0.4719,0.9793,1.4512,-2.4536,-2.7303,-0.2766,-4.1797,0.0331,-4.1466,-0.0473,4.8875,4.8403,-1.9905,-1.4265,-3.417,0.1258,-1.536,-1.4102,0.6879,-4.4554,-3.7675,-2.0651,-0.0077,-2.0728,5.9487,1.0549,7.0037,0.2375,-3.1197,-2.8823,0.1469,-1.8897,-1.7428,5.8108,-0.3785,5.4323,0.1647,-3.2401,-3.0755,-0.1751,-1.5279,-1.703,0.5947,3.2077,3.8025,-2.2838,-3.903,-6.1868
2000-03-02,-3.8917,-0.1342,-4.0259,0.9693,-1.3635,-2.3328,-0.8034,0.2686,-0.5349,-1.0765,-0.1572,-1.2338,0.4812,4.9144,4.4332,-1.1873,0.6449,-0.5424,-0.3847,0.0731,-0.3116,0.2898,-3.9587,-3.6689,0.1029,-1.7239,-1.621,0.4973,-2.4753,-1.9779,-0.3946,-0.8986,-1.2932,-2.3187,0.157,-2.1617,0.4598,-5.2827,-4.823,-0.3473,-0.7592,-0.4119,-5.0786,0.3118,-4.7668,-0.0947,-4.022,-4.1166,-0.7162,-2.309,-3.0252,0.2664,-2.2907,-2.0243,0.0626,-2.0643,-2.1269,-0.326,1.0438,1.3697,-2.4993,-2.6821,-0.1827,-4.1412,0.1542,-3.987,-0.0048,4.8863,4.8816,-2.3116,-1.2842,-3.5958,0.1279,-1.504,-1.3761,1.0208,-4.2002,-3.1794,-2.0125,0.2104,-1.8021,6.1215,0.6909,6.8124,0.3911,-3.022,-2.6308,0.3072,-1.8128,-1.5056,5.6966,-0.4569,5.2397,0.1459,-3.2036,-3.0577,-0.1587,-1.5675,-1.7262,0.647,3.3695,4.0165,-1.8372,-4.3623,-6.1994
2000-03-03,-3.8946,-0.0114,-3.9059,0.7922,-1.3425,-2.1348,-0.738,0.2616,-0.4764,-1.059,0.07,-0.989,0.6947,5.3016,4.6069,-0.9548,0.93,-0.0248,-0.1589,0.0333,-0.1256,0.6287,-3.8015,-3.1727,0.3502,-1.6363,-1.2862,0.5385,-2.3407,-1.8021,-0.2387,-0.9582,-1.1969,-2.2713,0.1894,-2.082,0.5567,-5.1436,-4.5869,-0.2603,-0.7372,-0.4769,-4.9527,0.5035,-4.4493,0.294,-3.9485,-3.6545,-0.732,-2.492,-3.224,0.4397,-2.1808,-1.7411,0.1775,-1.905,-2.0825,-0.1942,1.127,1.3212,-2.5142,-2.5739,-0.0596,-4.0793,0.2476,-3.8317,0.2009,4.9366,5.1375,-2.5104,-0.7953,-3.3057,0.096,-1.48,-1.384,1.4778,-3.8307,-2.3529,-1.9448,0.2708,-1.674,6.4024,1.1238,7.5262,0.4224,-2.9164,-2.494,0.5737,-1.6694,-1.0957,5.6364,-0.2404,5.396,0.2796,-3.1337,-2.8542,-0.1257,-1.599,-1.7247,0.998,3.619,4.617,-1.4275,-4.7191,-6.1466
