date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-02-01,41.0144,36.4512,43.5046,71.1741,45.5615,45.9972,65.8514,29.9384,37.9124,44.9966,46.1713,29.0838,35.9586,73.0243,39.1036,21.5358,69.2865,51.2345,53.2228,74.16,52.4594,32.1849,60.8522,48.0153,41.3446,34.9431,66.4029,43.9736,48.7117,33.2198,53.5426,40.2832,53.9649,52.4477,65.8902
2000-02-02,41.0877,39.7305,38.0164,73.1866,50.8677,49.909,65.2331,34.4818,38.8208,48.7824,49.4925,27.6879,36.078,74.4096,44.1349,25.4301,74.2986,51.0687,52.698,75.6562,52.4745,36.3392,64.3504,52.4839,46.7945,35.0938,71.6398,49.2718,48.9036,37.5981,52.3072,45.0952,57.8322,52.7599,66.1728
2000-02-03,36.7046,40.2023,39.7922,66.8684,57.7652,50.4439,64.2578,34.6414,32.5852,48.7554,48.5705,22.2545,35.9227,70.289,43.1057,29.6078,70.3324,46.0751,46.6713,75.9549,48.5695,30.6127,67.9617,50.6309,42.3234,40.4219,66.2382,55.849,42.7226,43.8795,58.0213,38.6545,51.9353,51.4789,66.412
2000-02-04,28.3845,36.5484,38.4181,61.4103,63.7484,50.6431,64.3897,29.7839,33.1367,41.2613,46.4286,21.4801,32.2295,66.9523,37.5485,34.0413,66.6741,38.9352,45.7953,71.9958,49.4668,26.8405,71.5493,54.7066,46.5046,40.1142,60.1854,61.5929,36.8179,47.516,62.8728,32.7559,50.131,56.5427,68.658
2000-02-07,17.3945,31.7502,34.3008,56.9608,65.6097,47.3502,67.081,23.859,38.2211,35.0798,44.8124,22.8951,27.1304,66.4765,34.2928,34.716,61.1758,32.7564,40.0588,71.7792,48.5499,20.6638,71.8119,56.7593,42.2242,35.3459,55.2717,61.0247,31.016,42.73,62.7499,25.0886,44.5851,60.4207,68.413
2000-02-08,21.8584,33.7373,28.9287,57.694,59.1721,46.8066,59.5775,29.9042,43.0356,31.3041,39.5062,22.2686,26.5368,67.4514,24.0914,35.2392,65.6745,37.6176,43.4008,75.1364,52.1995,24.3983,71.7191,55.896,41.6659,31.2997,55.1802,60.6247,30.5265,42.3812,63.8968,24.7861,43.3204,64.4217,68.5524
2000-02-09,22.0311,29.8583,31.1526,57.1366,57.355,50.6266,56.6043,29.3574,43.2918,35.9291,40.2758,22.1904,23.6668,62.8069,15.3953,35.0674,64.6196,37.6759,39.0055,73.6416,48.4101,23.6447,67.4586,55.144,41.4165,31.3658,50.6082,60.8662,29.9281,42.1272,70.2803,24.5715,42.0482,64.8207,63.8032
2000-02-10,21.8397,26.7777,35.9818,53.3843,57.0977,51.7241,58.6906,29.3735,44.0863,32.6802,48.695,19.9675,20.0195,58.211,14.9181,35.4268,59.3988,32.6591,33.1416,69.0644,44.7848,22.9623,66.3624,54.398,41.7933,26.7562,50.1621,66.1942,34.4701,42.2147,74.5596,19.6923,42.9556,67.8381,63.7321
2000-02-11,21.0968,24.2483,32.5588,53.4696,53.2069,52.5439,58.5117,29.5771,44.2961,29.6901,42.0247,16.8352,22.8539,50.255,18.4732,34.6651,53.3984,31.8976,28.7266,69.2988,44.6015,19.3691,71.1359,55.4654,41.7678,22.6834,44.9636,61.2395,29.4677,37.5234,68.471,14.4045,46.2659,63.3889,59.6708
2000-02-14,16.3333,24.0324,31.4418,47.5747,53.6498,53.0198,59.2919,33.987,40.3038,33.9243,37.4005,13.7321,19.8289,44.1411,14.7492,28.6361,52.3556,31.7668,28.6753,64.6866,41.4041,23.2173,67.1323,50.0757,44.9868,23.0102,49.4572,56.7914,29.2083,32.3168,64.2275,20.1867,42.6281,63.47,59.3954
2000-02-15,23.5462,27.9903,30.9351,47.0537,54.4493,47.8533,55.0951,28.363,34.1948,40.0514,43.8599,16.912,20.3864,48.7467,14.1288,22.086,56.817,36.2029,28.5798,68.7788,37.986,27.9506,66.0223,54.7491,45.7051,27.4568,49.041,52.0379,30.1703,38.4073,58.9124,25.6869,36.7738,63.8008,62.928
2000-02-16,27.6169,31.9392,34.7669,41.3924,55.7801,48.3903,54.6557,26.9851,38.7556,44.0588,46.3528,22.3283,20.5394,43.7842,9.5172,22.7997,56.8026,35.9021,25.6789,63.3117,32.6068,32.4061,65.7539,50.1266,40.7355,23.7869,48.2072,52.73,36.3166,33.8524,59.1569,25.79,24.804,59.0463,62.4574
2000-02-17,27.9266,36.7236,39.1625,41.7056,49.9404,42.8277,55.3041,24.5195,34.8341,48.2475,47.5364,25.4027,21.3607,43.7922,9.3843,28.5678,52.2586,40.5812,25.7568,58.9365,26.7135,32.365,71.7671,44.6111,39.8562,24.0634,47.9284,53.2645,36.3719,33.5377,59.2803,26.1509,27.2502,47.0105,54.3443
2000-02-18,28.2535,38.4435,43.1462,41.2433,55.5249,33.8473,55.6773,23.3064,27.5678,44.0572,47.0177,26.2688,24.3079,44.3661,9.2256,28.4637,46.699,41.7083,25.6088,57.7247,20.7142,32.6477,71.7761,37.9689,38.9949,23.6506,41.6524,49.0977,31.2549,32.9898,55.5541,26.9312,27.2392,48.6142,47.9292
2000-02-22,33.2619,44.9985,43.2278,40.2745,54.5726,33.3988,49.9269,23.0216,22.1564,42.0366,47.734,22.7142,28.7336,45.3644,9.1749,28.5191,52.0587,45.9188,25.6002,57.9838,25.7129,37.4577,66.3199,37.7822,38.9728,29.7544,36.2831,48.1673,26.4628,31.5022,54.4986,31.4589,33.0367,48.6217,41.2631
2000-02-23,34.6749,47.1086,47.5662,34.7867,58.9476,34.2724,37.1358,18.7981,22.4675,46.9258,47.3577,22.4406,31.6793,45.1905,11.8374,28.2967,47.2296,51.8636,28.8151,57.185,25.8682,38.6976,71.1515,37.8031,45.0977,35.0554,31.2255,54.1138,26.7399,37.9104,60.9847,32.1132,26.0625,48.6392,35.2197
2000-02-24,27.9303,40.2972,48.7747,28.2875,58.4494,29.0822,37.8676,15.2104,22.0842,46.9377,46.5652,19.5141,23.7754,44.8547,12.0106,32.8963,42.2155,43.5113,31.5759,52.6941,27.6478,37.2158,77.0151,43.681,38.7599,30.4725,31.2152,60.2639,26.0876,35.5712,64.9887,27.44,21.0864,43.7403,26.435
2000-02-25,27.4877,46.0627,49.4461,22.8857,53.4402,34.2986,31.6512,14.7862,21.7043,46.8996,46.5471,22.8665,16.0877,40.7087,11.9186,32.9675,36.5073,38.6335,22.9084,51.3957,29.0399,37.3832,76.8476,43.2086,33.4718,30.1134,31.2343,65.553,25.4558,35.7245,64.5443,23.5536,25.4649,44.2231,21.6634
2000-02-28,29.1926,51.1854,53.2554,31.0525,58.0688,34.9621,36.6827,21.9362,26.6829,54.5271,47.4362,27.1377,22.3784,35.6943,15.1454,32.6824,34.8589,43.6238,23.1531,56.2855,29.3278,37.1375,76.7292,42.7834,39.679,36.2992,36.1075,64.5661,31.036,42.3942,63.9144,24.1473,25.2052,44.6083,28.4915
2000-02-29,28.3091,50.6486,53.487,33.1477,62.6025,33.5835,40.9813,28.3133,19.2673,54.041,44.8838,23.3416,27.495,35.8993,17.7051,33.1377,33.893,42.9746,22.6608,55.9577,29.6692,36.9815,76.3707,41.6733,44.9884,41.2948,34.5796,64.1901,31.217,41.5947,63.5455,24.0659,25.0099,51.3565,28.3486
2000-03-01,24.1705,46.0762,54.7057,33.8074,66.4544,35.8945,45.9147,28.3986,28.5989,49.1672,46.7891,23.2626,27.5911,29.9201,15.5932,34.4517,33.7599,38.7562,22.7543,54.2149,31.8327,41.2099,76.348,40.8769,37.308,35.1513,34.0443,64.3309,27.3624,41.064,62.4025,20.4643,25.1305,56.8798,27.0538
2000-03-02,24.2237,41.7048,55.2468,34.1311,63.2044,39.1387,44.5978,30.992,34.0044,49.1984,43.8561,28.7749,27.7858,29.8916,16.01,36.7516,29.7701,42.5392,23.0761,55.8392,31.342,41.2332,76.1101,41.9284,32.4136,39.8531,33.1822,59.0614,31.856,41.4637,63.917,17.0581,20.1128,57.3569,27.36
2000-03-03,30.2424,41.2518,49.7422,39.9531,63.752,43.9893,45.7788,35.1556,38.7834,53.509,47.4251,32.9612,32.3429,34.7068,16.1119,38.82,28.8007,48.8573,28.4408,54.5841,31.5735,42.4732,75.7001,43.2975,32.0392,40.3686,33.5497,59.4768,31.5776,42.9285,63.7989,21.6563,20.022,56.9696,27.3956
2000-03-06,29.9791,42.3444,50.4236,40.3289,64.8731,44.0124,50.6737,34.7095,43.8658,55.6896,44.8711,34.4512,33.64,34.1898,16.5717,34.0827,28.2751,49.8242,33.2043,59.1207,26.0652,42.5517,71.7121,38.1539,28.3893,36.0524,33.8818,59.485,32.1804,38.842,60.2549,26.6181,20.2024,56.0482,27.2775
2000-03-07,29.0623,42.137,50.6458,40.5554,65.162,43.7253,45.7915,34.3501,44.1487,58.468,40.254,28.9538,18.7335,27.4656,16.605,40.3974,27.1593,49.0372,34.7424,55.241,20.4696,40.6779,67.013,37.2921,27.5047,35.2231,41.6429,54.1608,37.7497,36.2922,56.3074,25.7122,20.2374,51.383,24.0414
2000-03-08,30.8134,34.6278,53.2434,36.5808,65.2827,40.3855,45.7461,30.4431,40.0174,59.5857,40.1652,29.8151,12.6337,27.7166,19.8654,41.4401,29.8523,43.7435,28.0932,50.3689,21.953,42.2135,62.0826,38.1645,23.4173,34.9035,48.3755,48.575,44.4128,32.8586,51.0965,31.125,20.7395,46.7539,20.5929
2000-03-09,30.219,41.8076,48.5717,36.4552,70.3324,36.8607,45.4011,33.7348,44.7022,53.6879,43.1478,36.9715,11.8851,35.6435,23.7881,46.0899,36.2775,43.4891,33.5372,56.6167,21.7102,47.716,66.303,38.3146,27.7557,34.7454,48.5934,53.2801,49.4552,35.9202,49.4203,31.6467,25.5786,50.7208,20.2874
2000-03-10,36.3393,47.1447,43.8413,36.4541,70.7876,40.4009,45.0767,33.5337,44.0698,58.1939,38.6579,46.5195,10.8775,43.4165,29.2426,50.5389,36.2247,50.1883,38.9849,57.5451,21.3643,48.5865,66.4919,34.7696,31.0071,39.0938,49.3847,53.8134,44.4396,39.4374,48.7023,36.8853,19.623,54.5453,25.1088
2000-03-13,37.3115,47.9358,48.522,31.8371,69.9682,43.6766,40.5381,33.2891,43.8766,62.4995,41.4872,45.3984,15.855,43.1458,30.5766,52.3286,36.5823,50.7992,44.3155,56.5265,20.8936,49.8947,67.8341,34.4357,27.3219,39.2745,49.959,52.4588,44.662,39.3289,49.9222,40.1897,15.1284,53.6765,29.1623
2000-03-14,37.2033,47.2169,50.0938,35.3062,66.1297,44.0162,40.5472,34.0063,43.4461,62.5602,43.2014,49.4688,19.6602,43.1534,36.9852,52.6686,37.2466,51.0458,44.1554,61.2733,20.721,50.5297,62.4379,38.6376,24.4003,38.9695,49.8257,50.9678,49.6212,39.3943,49.3874,39.8436,19.5087,48.3766,30.0331
2000-03-15,36.8643,47.7601,55.4031,36.9674,60.7242,44.1938,45.2897,39.1563,43.2697,62.4905,41.1307,49.8639,21.812,45.118,47.194,53.3317,37.9756,51.1875,50.3333,61.2532,24.5196,50.9645,62.0844,35.2532,29.6175,39.7792,49.9929,49.346,48.4879,39.1472,49.2667,40.1232,25.4664,42.0835,31.6832
2000-03-16,40.1168,53.7426,55.4562,44.1435,53.6844,49.0845,46.6068,46.136,44.3581,64.0202,38.4259,51.5917,26.4822,51.6149,54.8604,53.0107,41.535,52.6524,56.4525,69.2473,30.3194,52.5436,67.3058,38.7314,37.7379,44.8138,50.2548,51.5872,48.9741,47.6083,43.6903,46.8837,31.0954,47.1842,37.9938
2000-03-17,39.5658,47.8744,49.2798,48.8598,60.0951,54.0278,51.2695,53.5135,49.3259,57.7804,36.5117,54.0402,25.7455,50.5392,51.2741,53.0099,41.1781,47.4326,57.011,75.5202,30.0733,51.1511,68.0187,39.9236,47.1096,51.1768,49.5594,51.8398,48.5366,51.5461,44.4689,46.3403,44.4963,51.2399,43.7745
2000-03-20,39.5759,52.6875,44.537,49.5588,59.4647,56.2653,58.9004,55.9678,53.6288,61.7474,42.6253,53.3132,27.769,50.9873,52.8167,57.0817,41.3252,47.553,61.4011,74.8845,30.6901,54.972,73.6512,44.2302,52.7566,56.5104,50.2193,52.7989,49.1134,50.7047,48.1841,45.6225,44.3386,54.1923,45.0794
2000-03-21,39.2538,53.2975,48.0497,55.1415,59.3141,61.4105,66.901,60.2994,53.5848,62.1089,45.9573,58.3058,27.4417,55.736,57.3847,61.6573,39.8573,48.2533,65.8949,75.3745,30.0004,55.1739,78.2646,48.6405,57.8319,57.8167,54.8248,57.7061,53.0956,57.0854,53.6295,45.1416,39.083,60.584,50.8677
2000-03-22,37.6999,52.6404,42.495,59.3645,59.1126,63.4929,72.9816,60.5969,53.0696,56.3722,47.3954,63.3963,27.1035,50.1483,57.5954,66.7968,43.6784,42.0342,65.5903,76.3484,29.9943,59.7414,78.8542,52.8117,53.6704,58.0739,53.592,57.3993,53.4173,56.5448,51.6798,46.2307,39.3731,61.6521,54.9039
2000-03-23,43.1435,52.7291,42.296,66.8974,62.7792,65.5089,77.704,63.3366,59.6928,61.4956,53.9846,68.4284,26.9964,49.8501,62.5147,68.7365,44.7712,41.4902,66.6821,80.9913,30.6678,61.8162,72.738,47.9742,58.7151,64.2769,53.6542,55.6541,58.7077,63.047,45.6806,50.4425,39.4916,67.6881,62.4421
2000-03-24,46.9135,53.1751,46.0961,71.9143,63.0934,61.2223,82.0369,69.006,64.4474,66.1959,60.4885,69.0223,26.8429,49.5741,66.4418,73.3643,44.9961,48.1574,70.8602,81.8823,30.9819,55.0903,67.474,55.0336,63.2483,69.4808,57.8737,55.1277,64.1077,67.8019,51.8637,51.3006,41.1444,65.3505,68.987
2000-03-27,42.7903,48.4481,42.5357,66.562,62.187,60.2605,78.112,66.57,64.5792,64.6911,61.9373,69.787,24.8613,49.2157,66.9891,71.379,40.6141,44.0144,71.8822,78.0911,31.0935,47.6627,71.9015,61.2266,58.9769,65.1541,57.5862,59.2703,59.1184,63.142,57.0881,51.7401,44.5228,69.1372,63.933
2000-03-28,43.9305,44.3273,37.8358,65.758,57.7941,55.7471,78.5622,61.5893,69.4523,61.1608,63.5198,76.2528,25.0771,45.2356,66.8845,70.1136,40.4789,40.5671,71.3987,72.8611,30.788,49.3083,66.9867,61.46,58.4317,60.2474,57.2617,55.8617,58.8499,59.9353,52.6293,52.7764,49.4741,65.8082,64.0303
2000-03-29,44.9305,48.2848,31.0358,61.6399,53.2982,48.4976,75.0852,62.6839,68.1618,61.9252,58.0471,77.4402,27.4623,50.1643,71.2875,69.6369,44.8557,40.3317,76.7722,67.3025,30.6043,44.6638,61.2465,62.2047,63.8552,66.9282,59.3432,51.6311,64.5964,56.8312,47.7742,57.3879,52.5975,58.017,60.5291
2000-03-30,49.1421,54.1895,39.2599,61.275,52.7797,39.4079,71.5725,62.2829,68.2124,62.673,63.4102,78.5832,29.7721,53.6834,71.8267,65.262,48.6539,41.1453,81.8647,65.1845,37.0181,41.4426,55.5711,62.1294,68.7849,61.9125,54.4841,50.8085,66.5724,52.9342,45.9386,62.0108,56.7869,57.0238,60.8614
