date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-01-03,1902600.0,2100800.0,7386600.0,12614250.0,4170900.0,5791900.0,8404800.0,8369900.0,4663700.0,1070200.0,428900.0,336400.0,2137500.0,12213800.0,1001800.0,26614200.0,5978800.0,1086700.0,4520600.0,8012800.0,5498500.0,2321200.0,28855100.0,10347700.0,12030800.0,7356600.0,6729100.0,18172600.0,2193800.0,8164300.0,26538000.0,2527500.0,2638200.0,4783900.0,2157067.0
2000-01-04,-27400.0,-569500.0,17924800.0,-5409750.0,480800.0,-1381700.0,24460900.0,1624800.0,-342100.0,-613300.0,-320800.0,-158000.0,2100.0,-1267200.0,-224500.0,-445300.0,-1554300.0,-270200.0,304100.0,197200.0,9152500.0,-1589900.0,3345300.0,2119900.0,3256300.0,-17200.0,-526300.0,1279300.0,2193800.0,74500.0,1135200.0,-563200.0,-953900.0,209100.0,-1323200.0
2000-01-05,2539400.0,-3545200.0,29622100.0,7659000.0,5565600.0,7708300.0,44290800.0,-5393900.0,6026400.0,-2565600.0,-1641100.0,578000.0,-2547100.0,11049300.0,593300.0,31584500.0,6044000.0,1579500.0,5535700.0,-5612467.0,13881200.0,2524900.0,29539800.0,14853100.0,10187700.0,-9114800.0,8216200.0,22527600.0,4977600.0,12252400.0,35397200.0,2636100.0,6677800.0,7158400.0,-4205267.0
2000-01-06,8093800.0,-1157200.0,22469300.0,21633000.0,1946000.0,554700.0,36385200.0,1150600.0,1320800.0,508700.0,271400.0,1238400.0,715000.0,21595100.0,-18100.0,4096200.0,10804500.0,4567400.0,726300.0,-33000.0,10316600.0,5203100.0,1954200.0,6881200.0,3584300.0,-2490400.0,17947000.0,3960200.0,7154300.0,6025200.0,11275900.0,5206400.0,11600000.0,301500.0,-4205267.0
2000-01-07,14233800.0,2786200.0,30441400.0,11174250.0,5643700.0,6440300.0,29609600.0,9127500.0,-3723000.0,2506200.0,2291500.0,1833100.0,5631000.0,38637000.0,-18100.0,35103000.0,21177800.0,6618000.0,5851000.0,4348267.0,16053600.0,10135000.0,22502400.0,-4975500.0,9785900.0,4223400.0,9645100.0,18029300.0,9398000.0,14091700.0,42406200.0,8386500.0,17608300.0,4415200.0,-2199800.0
2000-01-10,11375100.0,4253600.0,38152700.0,4797000.0,9106100.0,13559000.0,63586000.0,2413200.0,-8210800.0,3736300.0,1124500.0,1443200.0,2200000.0,28756800.0,475200.0,57584800.0,15451000.0,4686100.0,9964900.0,1199267.0,11691700.0,7670700.0,49312300.0,3565000.0,4332900.0,-852100.0,5372400.0,32867100.0,8345600.0,19833400.0,67697700.0,6545400.0,15204800.0,-94300.0,-564367.0
2000-01-11,9211100.0,1612600.0,45604100.0,-2677500.0,6733500.0,7086200.0,83727000.0,-2530100.0,-11905200.0,2631300.0,2373000.0,630300.0,4410900.0,19509100.0,1847200.0,34213000.0,20474300.0,3507300.0,15405100.0,-4404400.0,16390700.0,7670700.0,102053200.0,11438300.0,-38600.0,4188900.0,9733700.0,16593800.0,6950000.0,12329700.0,46092600.0,4572600.0,12754800.0,-4036700.0,1821766.0
2000-01-12,6424000.0,3658800.0,55213500.0,5915250.0,10044900.0,-1833800.0,70622000.0,-6615100.0,-16193300.0,3897400.0,1575700.0,1191800.0,1295100.0,30347100.0,590900.0,946800.0,25464700.0,4941500.0,23495100.0,443467.0,20585600.0,5089100.0,150716500.0,18242100.0,-4638000.0,10303000.0,4576600.0,2068800.0,5453700.0,5422000.0,25713700.0,6273100.0,15082600.0,-12751600.0,-117201.0
2000-01-13,6424000.0,5202700.0,61477400.0,15199500.0,12700100.0,-10083800.0,79357100.0,-1594100.0,-19977000.0,4950600.0,2448400.0,1781400.0,-1347500.0,56633500.0,1234000.0,42518800.0,30818200.0,4941500.0,17794900.0,5056067.0,17532600.0,2759500.0,112664400.0,9752400.0,-99100.0,15287500.0,10604600.0,14651400.0,7080400.0,10580300.0,42960900.0,7837800.0,12047500.0,-3531200.0,1826466.0
2000-01-14,8631900.0,5202700.0,53664100.0,31890000.0,9839000.0,-195500.0,71203100.0,-7906300.0,-16796500.0,3430200.0,1286800.0,1781400.0,1104700.0,56633500.0,2194100.0,79227000.0,25278000.0,3670600.0,21160300.0,11543934.0,21289200.0,5461900.0,204867000.0,20709000.0,-4677100.0,9127400.0,4970200.0,25600700.0,5243900.0,18017600.0,64772400.0,6315600.0,15882400.0,-45700.0,3923333.0
