date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-01-24,31.208,27.1472,37.9195,55.4613,44.6686,33.6173,59.3767,32.3683,50.6304,43.7123,53.0875,43.899,37.156,61.0035,54.264,31.4154,55.2358,47.277,49.4685,50.3419,73.3117,33.5016,62.5612,59.2843,35.9515,32.2465,62.9468,46.9185,65.1995,42.2306,51.1574,40.4157,63.8627,45.9536,41.6534
2000-01-25,29.9109,26.8662,37.5128,57.053,44.2112,29.4593,67.4156,37.921,45.3481,37.3924,53.0875,39.4321,39.4012,62.7683,51.8092,34.1031,56.4176,45.056,50.8112,54.5161,74.7791,37.5729,64.8103,54.5628,33.3287,33.0445,62.3903,48.4096,64.1854,45.1049,54.556,36.5932,67.1482,50.5025,52.1416
2000-01-26,31.9418,27.1654,32.0785,61.8418,40.019,29.4593,64.5589,40.3617,43.119,37.7651,52.7465,47.1534,43.8647,62.7683,53.5416,31.1996,59.9095,53.5184,36.9596,62.5172,64.0794,34.9852,57.9563,50.2695,36.6554,39.1753,60.6874,44.6569,60.8813,43.4611,48.6068,41.2586,68.2737,48.9783,54.0859
2000-01-27,31.0929,24.9946,31.7409,63.5349,39.699,27.4878,65.4646,35.1925,45.058,34.4354,50.4125,37.7268,48.4789,60.3606,46.9457,30.6924,62.1436,53.4106,44.5039,66.2798,53.6442,31.0388,59.4329,45.0362,38.9391,39.8012,53.6473,46.2135,49.279,42.6247,47.9178,40.3316,63.019,48.8319,58.1411
2000-01-28,31.3735,23.4449,30.3095,54.8834,40.2139,28.7712,64.1234,29.417,43.0962,29.8341,46.4207,35.3829,44.2282,63.1264,45.9434,30.2651,65.6566,46.6616,41.9719,55.5953,47.6367,40.6517,54.2353,42.2112,34.8629,31.1665,48.5084,41.7838,44.6203,36.7075,44.8375,37.7814,61.0921,42.7614,50.9501
2000-01-31,30.8326,34.9579,32.0261,56.8036,39.6069,44.2111,62.5259,28.9312,57.0845,32.1263,47.5042,36.8172,45.3153,66.7477,42.3146,29.9241,68.777,49.0534,44.4103,62.1638,48.8417,43.9341,58.8688,43.5671,37.55,31.1665,56.8978,46.2922,47.8656,43.7903,51.7634,35.3728,60.49,44.645,58.7196
2000-02-01,33.0092,33.9787,33.6508,59.4725,36.6296,42.8338,61.366,39.995,49.8038,34.6263,51.5062,33.1473,43.4895,69.3715,46.2566,39.6874,63.7327,49.9295,42.1401,66.2739,50.5336,41.9328,60.9871,40.2508,49.579,35.3634,57.4761,49.0485,46.6549,46.2076,59.8165,38.3668,56.9993,42.1882,62.8179
2000-02-02,32.0774,36.3962,31.1765,57.9307,45.1542,43.2904,64.2462,39.4743,49.0955,34.8331,55.1854,28.224,42.4871,62.7848,48.6389,37.3341,63.8426,47.0868,38.9125,62.9755,46.3472,42.9185,59.1987,47.0081,47.2953,33.2459,58.6703,49.9702,45.0916,46.4332,55.1568,39.375,59.9217,41.184,55.9779
2000-02-03,28.7295,35.0154,36.2264,53.6193,49.5683,41.7925,65.6367,39.4743,46.611,33.3016,53.663,24.7618,41.5158,60.496,50.0381,42.2032,62.0219,45.6945,37.5423,64.1127,43.8227,39.7173,62.8257,52.9368,46.8307,43.0674,54.8445,54.0026,41.8802,50.2517,58.6276,36.4709,54.5252,45.546,54.2549
2000-02-04,27.391,34.745,33.5735,49.3356,55.5468,41.7925,66.1984,35.8589,47.0094,30.5186,57.1511,25.7041,38.0226,60.9927,46.3596,46.8559,58.6213,41.4128,38.1056,60.552,46.595,37.8671,63.3345,50.4196,48.19,46.818,51.0818,54.7123,35.3233,49.1964,61.3533,36.4709,56.5101,49.7304,52.2561
2000-02-07,25.2382,29.8258,33.0799,48.3489,65.7496,41.3939,65.5979,34.9269,50.9199,30.1877,60.5155,25.362,36.4055,65.8141,42.3067,46.9497,59.0078,39.2588,37.5584,61.26,48.3252,36.788,65.9288,47.9635,44.0437,40.5209,50.7567,56.2232,37.1627,48.7899,64.484,33.7619,47.735,54.5864,53.4864
2000-02-08,27.7561,30.932,26.6829,52.7997,59.7059,42.2833,63.4982,45.1983,48.4911,29.8393,53.62,24.4285,40.9157,68.5287,27.4827,52.0013,59.416,39.4012,44.1339,65.5972,49.1973,38.4844,66.6662,55.2961,48.5419,41.4594,46.3361,60.5772,35.5304,52.5313,64.9318,33.1368,44.9545,55.2092,54.2481
2000-02-09,24.0222,28.0726,28.5088,47.8396,59.4323,45.1232,63.8662,41.9822,44.8367,29.1341,48.0713,22.0519,38.8392,58.2052,23.926,43.9396,48.339,39.302,42.617,60.0937,48.6553,35.1127,60.1262,52.8344,44.2338,38.0004,40.6673,55.3618,29.3942,46.7736,67.1608,28.8357,38.9254,53.0335,45.6586
2000-02-10,27.5222,27.171,32.0153,46.539,61.3404,43.1189,60.1016,40.4949,42.6548,28.1654,57.1951,19.8095,35.9639,52.4786,23.926,46.9232,43.2488,36.6046,41.2671,60.5029,47.7313,32.1661,62.924,55.4312,46.0888,40.4612,39.9435,58.766,35.9121,47.3503,71.7392,26.7001,42.0634,53.8004,43.2393
2000-02-11,25.3816,25.413,27.2877,47.4921,54.9399,37.1177,63.042,38.778,39.7134,25.0286,52.4588,19.5364,40.2615,52.4786,24.7943,39.9801,36.6927,32.1444,39.2919,59.1698,44.4198,31.3723,60.3402,49.1823,47.2551,38.4486,36.1933,55.4718,31.1105,42.3052,64.8792,23.1461,42.6137,49.1367,42.0954
2000-02-14,24.891,27.3369,26.6671,47.4921,56.6348,39.4794,58.6819,46.1537,37.8822,33.7868,54.3638,19.2271,38.0361,52.4786,22.8922,39.6465,38.849,32.0619,35.799,50.7618,40.5827,31.9856,64.0779,50.2927,47.8624,39.6536,43.5049,55.2589,30.8105,44.1174,64.3491,35.0355,37.769,55.3342,42.9086
