date,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD,SlowK,SlowD,SlowD,SlowK,SlowD,SlowK,SlowK,SlowD,SlowK,SlowD
2000-01-13,15.7821,38.8745,85.508,85.1765,79.1152,74.2092,84.4991,79.8687,86.2117,71.72,28.4769,20.0896,69.1358,76.433,57.0064,37.4191,18.3144,6.5543,83.9222,85.1728,85.2869,84.7909,54.1667,57.5869,90.9821,84.1724,90.443,92.7123,63.1576,72.2595,28.7309,31.4292,81.37,81.6593,72.2829,54.8739,82.441,78.654,43.7231,42.0317,84.6036,83.4138,59.4871,42.2012,76.454,80.2245,72.8609,74.9629,50.9985,40.3853,81.5763,79.1035,74.1843,71.1005,65.5359,60.567,36.8679,51.1508,68.4162,75.2348,60.746,70.6614,41.9455,32.4224,56.4692,38.1759,26.5539,18.7757,68.1759,68.5035
2000-01-14,14.9325,22.7317,84.4193,83.4139,74.9462,76.4663,92.3034,86.2626,87.5101,83.7282,22.7178,16.7563,41.0308,63.2841,38.9701,21.8142,10.4931,6.6667,68.8957,79.4236,81.0586,82.4706,58.6735,55.6028,83.302,72.5057,91.4509,91.7623,61.5286,66.5962,49.2564,35.6691,75.3166,79.0656,54.9091,32.8692,79.6093,80.5984,46.7675,57.1492,78.2341,81.5575,43.3465,27.2645,80.5928,81.0102,73.5742,66.2018,44.3009,40.2326,64.5852,74.8629,65.0055,53.5137,65.6265,71.2891,30.4843,38.1401,73.0943,72.3153,57.5886,63.495,33.4138,29.7383,48.5917,48.2204,52.3177,30.0112,71.5742,71.1714
2000-01-18,15.1658,15.2935,79.6588,70.386,49.3838,67.8151,89.8831,88.8952,80.0534,84.5917,19.4249,21.4288,37.8773,49.348,28.7253,26.9425,14.7216,30.9437,54.1943,69.0041,60.8744,75.7399,45.4718,52.7707,73.3975,63.5145,88.9771,82.4567,64.1685,62.9516,75.2902,51.0925,47.0508,67.9124,32.6054,10.0732,61.6882,74.5795,51.9513,56.673,80.2024,81.0134,27.3073,12.4561,80.2579,79.5389,61.4548,43.1997,38.2135,34.0227,42.347,62.8362,60.5814,57.1301,73.1734,87.664,53.5926,40.3149,75.0695,72.1933,73.9133,64.0826,28.1458,22.2767,50.2648,64.3981,81.0077,53.2931,49.6226,63.1242
2000-01-19,16.9142,15.6708,66.9666,47.0999,26.7104,50.3468,92.4,91.5288,79.8014,82.4549,21.4622,26.2016,34.9908,37.9663,26.6676,31.2462,28.1025,46.6971,27.7901,50.2934,38.3254,60.0861,30.8434,44.9962,63.6734,55.0,83.6639,76.7727,73.9088,66.5353,71.0157,65.1874,26.4197,49.5957,18.0815,11.302,57.0625,66.12,58.5867,61.9378,90.8046,83.0804,18.2391,14.9967,78.2271,74.1321,50.5423,42.2253,38.8549,42.3094,23.4839,43.472,57.1904,60.9273,84.8258,95.5243,62.5279,48.8682,80.9529,76.3722,83.3843,71.6287,20.9992,10.9826,67.7443,90.6145,89.367,74.2308,28.1545,49.7838
2000-01-20,8.3668,13.4822,47.4242,24.7867,14.3857,30.16,86.3727,89.5519,81.5894,80.4814,23.7973,23.7615,40.5515,37.8065,30.8118,34.2467,44.9315,57.1537,23.2544,35.0796,34.7222,44.6407,15.2013,30.5055,55.9578,49.359,76.0355,68.8772,68.5013,68.8595,52.9111,66.4057,21.3645,31.6116,10.9561,11.4932,52.2639,57.0049,59.2044,59.0025,99.6364,90.2145,15.299,18.4442,70.6154,58.1752,42.4163,41.8238,38.767,39.9691,23.5249,29.7853,60.4083,63.1676,91.5754,91.5379,68.2741,61.4649,62.9396,72.9873,87.7274,81.675,11.4,0.9406,81.1434,88.4176,84.0023,84.7924,8.4922,28.7564
2000-01-21,10.7349,12.0053,28.362,13.1995,16.6316,19.2426,59.8517,79.5415,68.1173,76.5027,31.8952,45.7225,28.2707,34.6043,28.2878,19.3704,54.2715,58.9637,20.172,23.7389,33.39,35.4792,15.9129,20.6525,46.2168,34.2914,64.2387,47.0663,55.4459,65.952,23.4801,49.1356,31.5164,26.4335,12.1933,13.7848,47.9364,52.421,61.1049,62.3745,99.6364,96.6924,17.3175,18.5117,57.6014,40.4968,49.0716,63.1658,41.6487,42.6675,22.6041,23.2043,63.4639,66.2968,92.2647,89.7319,59.6964,63.4995,47.3223,63.7382,89.2587,86.7902,6.7795,8.4152,83.9262,72.7465,72.175,81.8481,16.8064,17.8177
2000-01-24,10.2521,9.7846,15.2542,7.7763,11.5217,14.1797,31.8057,59.3434,46.4021,65.3696,43.0036,59.5267,18.8412,29.2211,23.6546,17.3466,61.3067,67.8028,28.6079,24.0114,27.5134,31.8752,23.4049,18.1731,35.7174,23.5019,48.2909,28.9293,30.109,51.3521,12.1926,29.5279,33.1827,28.6879,11.6334,9.6221,28.492,42.8974,58.3334,53.6232,88.1816,95.8181,16.5721,12.7605,43.0555,30.4944,57.0437,66.1415,36.095,25.6485,17.0146,21.0479,60.7801,52.8759,80.3837,59.8812,58.2351,62.0685,21.5052,43.9223,65.4404,80.8088,6.3389,9.6608,70.3876,49.9987,51.3185,69.1653,29.0354,18.1114
2000-01-25,14.8229,11.9366,11.088,12.2882,13.712,13.9551,15.3619,35.6731,36.1429,50.2208,54.5331,58.35,41.2257,29.4459,20.3931,24.4624,62.065,59.4285,27.0646,25.2815,10.6719,23.8584,23.8433,21.0537,23.167,11.7078,32.9854,22.9607,12.089,32.5479,11.2658,15.6462,30.0917,31.5969,11.3594,10.6714,14.7279,30.3854,56.2646,52.7961,80.2119,89.3433,13.3069,8.6486,37.0023,40.0156,65.2602,66.4732,29.2146,19.3279,12.7874,17.4687,57.5337,53.4284,65.6663,47.3858,57.6308,58.5208,22.0529,30.2934,59.2287,71.3093,10.5849,13.6787,54.5111,40.7881,44.3961,55.9632,53.2127,33.0182
2000-01-26,21.1767,15.4172,12.1937,16.5165,13.8661,13.0333,32.4553,26.5409,31.1713,37.9054,52.1192,38.4808,65.706,41.9243,28.1741,42.7133,54.0872,35.0304,21.6015,25.758,9.3935,15.8596,44.741,30.6631,17.0181,15.8446,29.4586,36.4859,21.4786,21.2255,10.7963,11.4182,41.4216,34.8987,16.9327,30.5046,10.4974,17.9057,58.0711,67.7941,49.3806,72.5914,9.963,8.4798,35.5978,36.2834,59.1982,44.9799,23.404,25.2357,21.1426,16.9815,47.4129,35.9346,42.0862,18.9914,44.8993,53.5884,23.9365,22.4982,26.9735,50.5475,13.2406,16.3825,44.6637,43.2044,40.0376,45.2507,68.7551,50.3344
2000-01-27,26.0085,20.6693,16.6019,21.001,14.097,13.8917,58.9724,35.5965,26.4344,31.2495,39.7443,22.4022,83.7485,63.5601,37.1054,44.1405,37.9427,19.3692,14.3049,20.9904,7.584,9.2165,39.3773,35.9872,19.6978,31.5409,33.0198,39.6127,24.903,19.4902,14.8615,12.3079,60.6189,44.0441,30.6673,50.8259,24.1274,16.4509,67.6252,82.2853,31.6884,53.7603,8.384,8.0237,37.0219,34.7667,45.8631,26.1361,26.3913,34.6103,32.2448,22.0583,38.5961,26.4253,30.5176,25.1755,29.8275,44.1192,28.9982,24.9959,27.6924,37.9649,19.1965,27.5284,44.577,49.7385,52.2501,45.5613,86.1821,69.3833
2000-01-28,31.6035,26.2629,18.3881,17.6469,5.2919,11.085,61.6635,51.0304,18.56,25.3885,26.0748,17.3414,79.3001,76.2516,40.6332,35.0458,23.3622,15.687,12.5608,16.1558,6.4459,7.8078,40.3191,41.4791,29.2337,40.3157,42.7476,52.1441,29.2716,25.2177,9.7378,11.7986,75.4798,59.1734,45.5135,55.2101,28.2925,20.9724,75.7389,77.1372,6.6884,29.2525,10.6163,15.3455,28.9193,15.7077,27.7944,12.2671,31.0234,33.2242,28.5111,27.2995,25.39,13.8102,19.3423,13.86,16.6485,30.4584,17.8698,23.6015,10.8791,21.8483,24.5777,29.8222,45.8928,44.7356,37.491,43.2596,72.8656,75.9343
2000-01-31,36.3493,31.3204,25.5895,38.1207,4.9264,8.1051,54.4419,58.3593,27.722,24.2388,25.5061,36.7746,61.7029,74.9172,32.6523,18.7706,25.4797,41.383,12.0133,12.9597,9.7317,7.9205,24.5062,34.7342,40.2461,48.8816,53.0015,67.2477,14.2038,22.7928,20.0606,14.8866,84.3616,73.4868,51.0332,47.0637,39.93,30.7833,78.7081,76.7018,7.2741,15.217,21.9692,42.5384,28.3642,34.6184,18.7693,17.9048,33.8517,33.7205,19.4211,26.7257,22.263,26.5536,23.8097,32.3935,16.078,20.8513,31.3561,26.0747,34.6693,24.4136,25.4744,19.0725,41.8269,31.0064,39.5243,43.0885,79.6477,79.5651
2000-02-01,44.3092,37.4207,37.4185,56.4878,9.4091,6.5425,45.9594,54.0216,28.7922,25.0247,37.6529,58.8427,37.0095,59.3375,28.1201,30.544,34.5169,46.4808,19.1756,14.5832,26.2607,14.1461,28.3861,31.0705,42.2913,37.6764,68.7731,86.9276,17.9951,20.4901,46.2309,25.3431,82.4843,80.7752,45.1878,33.2898,39.3904,35.8709,76.9364,76.9703,9.6891,7.8839,40.9802,65.0566,36.1883,58.2388,15.0936,15.1091,39.0099,50.085,15.1676,21.0333,29.021,46.699,32.744,51.9785,21.5127,18.0798,49.5964,32.9408,59.6724,35.0736,21.0893,14.3732,32.152,20.7139,27.85,34.9551,81.7417,78.085
2000-02-02,47.8259,42.8281,58.3508,80.4439,11.1767,8.5041,52.3592,50.9202,43.3333,33.2825,58.5767,80.1128,33.6254,44.1126,31.5753,45.4112,47.3014,54.0404,29.8899,20.3596,52.6085,29.5337,24.4103,25.7675,37.5375,26.0543,78.778,82.1587,32.6907,21.6299,64.1117,43.4677,78.0271,81.6243,36.0044,27.6598,30.7442,36.6882,79.6321,85.2241,10.0548,9.006,61.4084,76.6301,57.4134,79.383,19.9616,26.8711,52.3649,73.2891,18.0016,17.5301,49.3966,74.9371,53.6989,76.7247,27.9917,21.8608,76.3587,52.4371,82.9272,59.0896,17.2739,18.3761,24.8343,22.7824,33.1594,33.5112,82.4295,81.273
2000-02-03,42.0566,44.7306,69.9164,72.8174,25.809,15.4649,50.1246,49.4811,54.0635,42.063,70.7136,73.1852,51.6656,40.7669,47.5926,66.8226,44.9736,34.3996,37.209,28.7582,70.9999,49.9564,16.9961,23.2642,25.5474,12.9116,79.8263,70.3927,62.7041,37.7966,84.2953,64.8793,58.855,73.1221,27.4214,21.3146,19.8606,29.9984,81.269,81.6127,8.3745,9.3728,67.7791,61.6506,75.5182,88.9329,30.7261,50.1981,70.0552,86.7915,42.3026,25.1573,65.9333,76.1637,72.9614,90.181,25.2322,24.9122,88.3716,71.4422,90.279,77.6262,17.6954,20.3369,21.3543,20.5666,35.4393,32.1496,67.4541,77.2084
