date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-02-11,37.6476,35.96,27.7517,37.9736,57.86,42.336,52.0357,49.5865,40.4821,37.1268,42.1598,40.6404,45.3041,48.3385,50.7175,51.8751,36.1896,28.9098,41.2812,47.2299,39.7231,36.1046,51.6639,49.4006,52.2149,39.4687,36.131,65.4672,29.9715,48.0532,61.8566,32.7754,40.124,58.5178,34.6403
2000-02-14,38.6696,32.0529,25.8032,42.2952,59.0269,47.9187,46.9547,52.3203,42.2449,39.8213,43.4321,44.0651,46.1855,54.8433,48.0045,46.925,40.0037,25.8562,40.2378,37.7196,37.9795,36.8574,52.7813,47.3827,52.2504,32.6852,39.1999,64.0822,27.8565,43.5339,60.2031,42.4747,38.0576,60.9268,29.8235
2000-02-15,43.4074,40.5686,29.9373,50.5107,58.7852,51.0055,49.371,58.4231,42.1978,45.9134,43.6206,38.3667,54.8818,56.1335,45.6483,44.6865,40.3935,38.9164,41.6956,40.2788,47.7106,44.5778,63.3111,54.7732,50.6643,34.9819,44.6054,70.2444,38.5696,52.3388,59.038,42.0931,39.0801,62.8542,37.7091
2000-02-16,44.1066,40.4651,31.1786,51.312,57.297,46.1296,49.8759,48.6453,39.7178,42.2265,42.8597,37.1399,52.6786,46.042,45.3658,40.2385,35.7549,37.9263,35.9563,37.8226,41.7565,46.5367,54.0833,56.7891,52.4681,37.0493,45.8252,67.0232,38.3037,48.0332,55.3726,40.5989,41.5434,54.9918,34.8798
2000-02-17,42.4492,45.4294,35.1758,45.0958,60.6896,55.489,51.4699,37.1272,37.3877,45.8406,44.8481,38.0158,50.2119,42.7519,35.0048,39.6438,30.7468,40.2335,33.8922,32.6706,43.3313,41.5335,55.3464,49.5072,45.4948,35.3763,47.3477,65.5559,42.9842,42.0234,58.9879,41.7548,43.7147,55.9684,36.8601
2000-02-18,44.7489,40.5164,36.3042,48.7013,61.4237,53.1316,49.6546,37.064,32.9366,45.3924,42.2693,38.7244,52.789,50.2974,35.3137,38.2108,29.3719,39.6095,30.4978,29.7952,44.1549,40.8741,51.9994,46.2577,46.8949,32.3081,44.0257,60.9435,44.8972,39.7901,55.3409,44.8887,42.2411,54.183,34.2497
2000-02-22,43.5314,50.7605,45.0239,48.9501,61.4829,51.354,47.4446,38.1427,37.1778,49.4754,39.9068,41.7627,59.408,53.517,29.9792,30.8502,38.6161,45.9328,28.6872,30.2258,44.8088,48.1442,53.3052,44.4097,40.2845,36.9425,44.1238,58.0636,45.2381,40.2094,48.016,47.9911,48.0542,56.1329,35.2497
2000-02-23,41.7583,52.3025,43.0226,48.2375,68.7811,54.283,49.9496,37.7243,31.2126,49.1112,41.1207,40.2992,53.5225,57.5751,30.9955,37.0366,36.7306,49.2692,29.4427,30.7044,48.5495,41.7293,58.0287,44.4646,43.8318,40.6095,47.1847,65.0283,44.5544,46.2931,63.0253,50.1805,42.5096,61.7591,36.3887
2000-02-24,39.1178,60.2358,43.387,44.8163,69.0789,54.3922,50.4222,41.5853,27.9144,44.679,35.8881,39.8733,54.2401,52.0109,32.0437,40.6791,34.3685,50.5904,28.4997,34.247,51.5608,40.8948,56.6789,44.9647,39.12,43.9368,42.8204,66.6144,42.6362,39.6714,64.5508,40.0993,46.557,55.7765,33.7892
2000-02-25,33.2565,59.8843,38.2427,38.3258,62.2996,50.4828,40.0554,36.3106,26.4727,38.3992,32.7906,36.7483,43.5138,48.2013,33.5389,37.9454,34.9323,40.4086,26.9939,31.4301,44.2042,39.1209,51.5793,43.5263,36.8205,37.773,37.1947,58.1313,35.4804,30.4595,61.2418,33.3331,47.1596,48.1255,26.9528
2000-02-28,30.761,64.7092,40.3348,39.1197,62.669,55.6862,45.1846,42.6392,29.5288,41.8883,30.4611,36.0315,48.3301,54.008,40.2545,43.5675,38.9685,41.0292,29.5568,34.7957,50.0978,44.6942,56.9509,41.7003,47.0499,40.4496,39.7978,60.1118,44.8952,38.5251,61.4408,33.0634,48.8529,51.1135,33.4214
2000-02-29,36.8766,61.3707,39.6434,46.5601,63.9293,53.414,49.4519,50.2734,32.2979,36.9145,28.3289,32.4808,44.9283,51.7739,38.9235,38.1109,40.936,46.1294,29.3209,37.6248,51.1968,45.5286,55.9867,40.2721,48.6806,44.5395,45.6769,60.7429,45.7426,42.9319,60.2059,26.8527,47.6351,49.5526,34.4092
2000-03-01,36.395,63.6832,39.8941,44.1001,60.8851,62.9099,55.9221,53.3541,50.0589,45.1222,42.7611,35.9231,45.6276,47.9385,39.0038,42.7829,41.695,47.3159,29.2512,47.335,56.5091,52.3228,63.3909,37.9041,48.7394,48.4296,54.2983,67.1999,53.4604,48.802,62.0976,26.1335,50.8806,61.2335,38.6697
2000-03-02,32.3555,56.0597,32.4532,47.3009,60.3795,69.117,62.1336,52.0925,51.6238,44.0406,38.5395,36.0428,42.7833,52.6014,48.0153,45.3385,31.4082,42.1019,29.7694,45.0302,51.2179,50.7881,59.3677,39.6077,50.4243,48.8696,56.5231,61.4245,49.5665,50.0621,63.4957,23.2987,43.1036,54.3486,37.4084
2000-03-03,34.6573,54.1368,40.1875,51.2937,60.3466,71.4553,65.818,56.1282,53.0654,50.4662,44.186,33.7791,45.2106,49.4353,43.2603,46.2497,32.7749,41.0318,41.152,47.6552,52.1431,55.8769,61.7749,45.9646,44.9919,53.261,56.9567,64.7781,53.2214,53.4653,58.8233,31.0502,46.6121,58.9857,37.1761
2000-03-06,33.2918,48.4219,38.0659,49.5714,60.744,65.6982,65.5511,49.3731,62.3675,48.5832,46.4157,34.6429,45.6616,46.3608,42.8587,38.1685,28.6237,36.8885,42.3798,51.2901,51.2536,51.338,57.4061,39.4119,47.4955,52.0065,54.0146,60.8341,56.5556,55.7618,55.7855,30.325,43.2628,56.4291,38.1995
