date,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
2000-01-31,-90.0,-78.765,-96.6495,-29.445,-59.0118,-58.6207,-18.9038,-91.9355,-14.2473,-89.9861,-92.8977,-81.1388,-73.3362,-18.8729,-98.5222,-87.3684,-2.5965,-75.0554,-69.9105,-6.1132,-81.1694,-66.18,-26.2149,-82.6173,-87.7708,-95.7038,-34.9643,-44.4134,-71.5696,-65.566,-33.9623,-100.0,-43.3174,-50.7143,-4.9261
2000-02-01,-86.8182,-81.9156,-93.5567,-17.6858,-71.5976,-58.4331,-25.0,-66.386,-46.2366,-84.7705,-79.2614,-75.0345,-80.1187,-8.2569,-82.5455,-63.7303,-15.3684,-71.3653,-78.2998,-4.6154,-77.7778,-73.7835,-17.796,-94.3698,-24.4963,-86.5631,-31.8043,-31.0056,-75.9131,-52.3808,-1.4388,-94.0287,-52.2673,-60.7143,-2.0833
2000-02-02,-88.7388,-77.9458,-98.2801,-22.3895,-43.1953,-40.0304,-10.4312,-68.3938,-49.5968,-84.3533,-65.625,-94.7586,-83.8067,-23.9003,-73.4545,-72.5381,-15.208,-83.3948,-90.9396,-13.0462,-97.0425,-71.1071,-22.3819,-71.977,-32.9143,-95.4296,-29.4118,-26.5363,-81.4413,-51.3783,-20.1439,-92.0382,-50.0,-64.8286,-22.0833
2000-02-03,-93.617,-81.9156,-89.1892,-43.018,-26.0355,-46.5839,-8.0624,-68.3938,-61.2903,-89.9861,-70.3598,-97.0131,-87.2827,-31.0559,-68.1212,-59.5469,-24.3148,-87.7536,-93.9064,-10.1083,-98.3926,-82.9075,-8.2136,-48.8164,-35.7714,-71.7093,-46.6192,-6.4246,-92.0976,-34.3356,-4.006,-98.6014,-67.0,-51.9714,-27.5
2000-02-04,-97.4576,-82.6717,-94.1176,-73.4973,-8.6486,-46.5839,-4.8114,-81.8005,-59.6774,-91.3098,-57.3864,-88.8889,-96.9262,-35.3383,-82.5455,-45.9547,-39.6378,-100.0,-92.6007,-18.7726,-89.9323,-90.0852,-11.3195,-58.4133,-28.6857,-61.1517,-64.4128,-6.9841,-98.56,-39.0979,-2.2502,-92.2909,-67.3736,-38.5714,-38.3886
2000-02-07,-96.7611,-96.875,-95.7647,-79.3103,-1.992,-48.4472,-8.1699,-84.2105,-43.6828,-92.5063,-43.75,-90.2222,-97.3297,-14.8235,-93.6436,-45.6773,-37.7264,-94.1072,-90.2388,-16.1252,-84.6024,-94.2822,-1.6549,-68.0102,-52.9143,-84.2779,-65.9549,-0.9901,-94.3894,-40.8519,-0.7874,-96.3794,-98.1366,-21.2571,-33.6493
2000-02-08,-93.5622,-95.3125,-93.2727,-56.9655,-19.1235,-45.1411,-15.3595,-57.8947,-53.7634,-93.3501,-64.4886,-93.736,-87.6548,-2.8509,-61.1111,-30.3282,-35.8149,-93.7537,-76.0125,-5.9843,-81.9797,-89.9355,-5.9578,-38.0038,-30.0571,-81.7185,-87.4259,-1.2887,-100.0,-25.313,-7.8571,-92.5262,-87.6999,-18.9429,-30.8057
2000-02-09,-99.5433,-93.0556,-90.9091,-88.7892,-19.9203,-18.6,-19.7885,-67.4717,-69.7581,-95.6713,-83.9962,-98.6141,-94.4272,-39.693,-73.1481,-57.7901,-76.66,-94.1072,-80.4777,-20.6876,-83.5871,-98.0993,-26.3789,-47.2169,-49.2126,-95.4296,-97.5752,-20.1031,-99.6144,-49.6242,-17.7143,-100.0,-93.641,-25.3714,-61.1374
2000-02-10,-85.2941,-95.1987,-86.3636,-90.3226,-11.9522,-27.7328,-31.1178,-72.9521,-79.8387,-97.6441,-46.6856,-97.0476,-95.0608,-64.4737,-73.1481,-48.5437,-90.9091,-95.8409,-84.4237,-20.0993,-86.2098,-97.2973,-12.025,-36.0205,-38.5827,-89.1225,-94.8182,-3.3505,-87.644,-47.3682,-1.1019,-97.2698,-85.9487,-27.5862,-71.09
2000-02-11,-92.0502,-100.0,-100.0,-84.5517,-30.2789,-61.9433,-16.9184,-80.2164,-81.7757,-95.3646,-64.4886,-94.2413,-86.7931,-64.4737,-72.2222,-76.5603,-93.6011,-91.6794,-89.3303,-23.263,-94.3333,-91.8655,-24.3902,-60.0128,-31.4815,-96.8011,-91.2628,-15.4639,-90.1147,-70.426,-14.876,-93.7778,-84.6154,-47.2222,-75.8294
